,frame,x,y,r,name,sample_rate,examplenr
0,1,1121,598,193,framenr_1_framevid_June12_01,25.0,exp1
1,2,1221,468,215,framenr_2_framevid_June12_01,25.0,exp1
2,3,1211,458,225,framenr_3_framevid_June12_01,25.0,exp1
3,4,1209,454,226,framenr_4_framevid_June12_01,25.0,exp1
4,5,1209,452,226,framenr_5_framevid_June12_01,25.0,exp1
5,6,1301,640,162,framenr_6_framevid_June12_01,25.0,exp1
6,7,995,610,187,framenr_7_framevid_June12_01,25.0,exp1
7,8,1241,474,184,framenr_8_framevid_June12_01,25.0,exp1
8,9,1281,510,131,framenr_9_framevid_June12_01,25.0,exp1
9,10,1281,506,134,framenr_10_framevid_June12_01,25.0,exp1
10,11,1211,442,229,framenr_11_framevid_June12_01,25.0,exp1
11,12,1133,568,211,framenr_12_framevid_June12_01,25.0,exp1
12,13,991,606,202,framenr_13_framevid_June12_01,25.0,exp1
13,14,1291,508,124,framenr_14_framevid_June12_01,25.0,exp1
14,15,1277,500,139,framenr_15_framevid_June12_01,25.0,exp1
15,16,1261,478,164,framenr_16_framevid_June12_01,25.0,exp1
16,17,1241,464,188,framenr_17_framevid_June12_01,25.0,exp1
17,18,877,596,269,framenr_18_framevid_June12_01,25.0,exp1
18,19,995,586,188,framenr_19_framevid_June12_01,25.0,exp1
19,20,1219,454,210,framenr_20_framevid_June12_01,25.0,exp1
20,21,1213,458,214,framenr_21_framevid_June12_01,25.0,exp1
21,22,1271,512,136,framenr_22_framevid_June12_01,25.0,exp1
22,23,1347,668,206,framenr_23_framevid_June12_01,25.0,exp1
23,24,1353,670,211,framenr_24_framevid_June12_01,25.0,exp1
24,25,1255,504,166,framenr_25_framevid_June12_01,25.0,exp1
25,26,967,592,186,framenr_26_framevid_June12_01,25.0,exp1
26,27,1145,596,213,framenr_27_framevid_June12_01,25.0,exp1
27,28,1069,576,137,framenr_28_framevid_June12_01,25.0,exp1
28,29,1349,682,194,framenr_29_framevid_June12_01,25.0,exp1
29,30,1253,500,190,framenr_30_framevid_June12_01,25.0,exp1
30,31,947,444,258,framenr_31_framevid_June12_01,25.0,exp1
31,32,1123,460,232,framenr_32_framevid_June12_01,25.0,exp1
32,33,1271,526,163,framenr_33_framevid_June12_01,25.0,exp1
33,34,1259,516,181,framenr_34_framevid_June12_01,25.0,exp1
34,35,979,688,181,framenr_35_framevid_June12_01,25.0,exp1
35,36,889,736,169,framenr_36_framevid_June12_01,25.0,exp1
36,37,1257,508,188,framenr_37_framevid_June12_01,25.0,exp1
37,38,1249,496,202,framenr_38_framevid_June12_01,25.0,exp1
38,39,1001,674,204,framenr_39_framevid_June12_01,25.0,exp1
39,40,1257,502,196,framenr_40_framevid_June12_01,25.0,exp1
40,41,1297,538,143,framenr_41_framevid_June12_01,25.0,exp1
41,42,1259,498,201,framenr_42_framevid_June12_01,25.0,exp1
42,43,1249,690,158,framenr_43_framevid_June12_01,25.0,exp1
43,44,1195,504,182,framenr_44_framevid_June12_01,25.0,exp1
44,45,1277,516,176,framenr_45_framevid_June12_01,25.0,exp1
45,46,1307,544,138,framenr_46_framevid_June12_01,25.0,exp1
