,frame,x,y,r,name,sample_rate,examplenr
206,207,950,702,202,framenr_207_framevid_June09_01,25.0,exp5
207,208,1160,544,227,framenr_208_framevid_June09_01,25.0,exp5
208,209,402,492,172,framenr_209_framevid_June09_01,25.0,exp5
209,210,318,352,184,framenr_210_framevid_June09_01,25.0,exp5
210,211,906,806,232,framenr_211_framevid_June09_01,25.0,exp5
211,212,1000,728,230,framenr_212_framevid_June09_01,25.0,exp5
212,213,90,450,181,framenr_213_framevid_June09_01,25.0,exp5
213,214,1184,880,190,framenr_214_framevid_June09_01,25.0,exp5
214,215,1064,736,174,framenr_215_framevid_June09_01,25.0,exp5
215,216,1020,784,111,framenr_216_framevid_June09_01,25.0,exp5
216,217,684,728,199,framenr_217_framevid_June09_01,25.0,exp5
217,218,652,830,194,framenr_218_framevid_June09_01,25.0,exp5
218,219,1002,784,194,framenr_219_framevid_June09_01,25.0,exp5
219,220,128,222,208,framenr_220_framevid_June09_01,25.0,exp5
220,221,822,252,223,framenr_221_framevid_June09_01,25.0,exp5
221,222,440,988,235,framenr_222_framevid_June09_01,25.0,exp5
222,223,1124,914,269,framenr_223_framevid_June09_01,25.0,exp5
223,224,1040,588,188,framenr_224_framevid_June09_01,25.0,exp5
224,225,1144,644,208,framenr_225_framevid_June09_01,25.0,exp5
225,226,236,714,241,framenr_226_framevid_June09_01,25.0,exp5
226,227,308,842,171,framenr_227_framevid_June09_01,25.0,exp5
227,228,194,354,149,framenr_228_framevid_June09_01,25.0,exp5
228,229,1030,860,127,framenr_229_framevid_June09_01,25.0,exp5
229,230,146,516,165,framenr_230_framevid_June09_01,25.0,exp5
230,231,508,508,193,framenr_231_framevid_June09_01,25.0,exp5
231,232,176,548,193,framenr_232_framevid_June09_01,25.0,exp5
232,233,176,602,174,framenr_233_framevid_June09_01,25.0,exp5
233,234,1132,128,76,framenr_234_framevid_June09_01,25.0,exp5
234,235,272,580,143,framenr_235_framevid_June09_01,25.0,exp5
235,236,496,566,221,framenr_236_framevid_June09_01,25.0,exp5
236,237,238,600,214,framenr_237_framevid_June09_01,25.0,exp5
237,238,202,710,220,framenr_238_framevid_June09_01,25.0,exp5
238,239,268,702,151,framenr_239_framevid_June09_01,25.0,exp5
239,240,1290,226,184,framenr_240_framevid_June09_01,25.0,exp5
240,241,666,818,73,framenr_241_framevid_June09_01,25.0,exp5
241,242,532,534,249,framenr_242_framevid_June09_01,25.0,exp5
242,243,448,812,123,framenr_243_framevid_June09_01,25.0,exp5
243,244,606,706,243,framenr_244_framevid_June09_01,25.0,exp5
244,245,326,790,230,framenr_245_framevid_June09_01,25.0,exp5
245,246,552,432,206,framenr_246_framevid_June09_01,25.0,exp5
246,247,196,746,174,framenr_247_framevid_June09_01,25.0,exp5
247,248,338,822,227,framenr_248_framevid_June09_01,25.0,exp5
248,249,972,448,253,framenr_249_framevid_June09_01,25.0,exp5
249,250,840,166,152,framenr_250_framevid_June09_01,25.0,exp5
250,251,708,376,244,framenr_251_framevid_June09_01,25.0,exp5
251,252,418,362,246,framenr_252_framevid_June09_01,25.0,exp5
252,253,832,470,202,framenr_253_framevid_June09_01,25.0,exp5
253,254,464,606,125,framenr_254_framevid_June09_01,25.0,exp5
254,255,824,292,227,framenr_255_framevid_June09_01,25.0,exp5
255,256,698,778,230,framenr_256_framevid_June09_01,25.0,exp5
256,257,800,350,200,framenr_257_framevid_June09_01,25.0,exp5
257,258,924,266,233,framenr_258_framevid_June09_01,25.0,exp5
258,259,816,440,243,framenr_259_framevid_June09_01,25.0,exp5
259,260,1176,814,253,framenr_260_framevid_June09_01,25.0,exp5
260,261,1180,808,263,framenr_261_framevid_June09_01,25.0,exp5
261,262,842,246,233,framenr_262_framevid_June09_01,25.0,exp5
262,263,874,248,175,framenr_263_framevid_June09_01,25.0,exp5
263,264,662,608,195,framenr_264_framevid_June09_01,25.0,exp5
264,265,856,330,255,framenr_265_framevid_June09_01,25.0,exp5
265,266,854,358,256,framenr_266_framevid_June09_01,25.0,exp5
266,267,906,458,209,framenr_267_framevid_June09_01,25.0,exp5
267,268,860,312,228,framenr_268_framevid_June09_01,25.0,exp5
268,269,878,300,212,framenr_269_framevid_June09_01,25.0,exp5
269,270,882,332,200,framenr_270_framevid_June09_01,25.0,exp5
270,271,830,372,253,framenr_271_framevid_June09_01,25.0,exp5
271,272,916,252,160,framenr_272_framevid_June09_01,25.0,exp5
272,273,896,304,208,framenr_273_framevid_June09_01,25.0,exp5
273,274,920,466,234,framenr_274_framevid_June09_01,25.0,exp5
