,frame,x,y,r,name,sample_rate,examplenr
0,1,661,339,210,framenr_1_framevid_June09_02,25.0,exp2
1,2,641,301,173,framenr_2_framevid_June09_02,25.0,exp2
2,3,563,439,246,framenr_3_framevid_June09_02,25.0,exp2
3,4,607,363,251,framenr_4_framevid_June09_02,25.0,exp2
4,5,925,293,221,framenr_5_framevid_June09_02,25.0,exp2
5,6,599,473,240,framenr_6_framevid_June09_02,25.0,exp2
6,7,625,331,255,framenr_7_framevid_June09_02,25.0,exp2
7,8,637,303,195,framenr_8_framevid_June09_02,25.0,exp2
8,9,697,315,197,framenr_9_framevid_June09_02,25.0,exp2
9,10,657,335,162,framenr_10_framevid_June09_02,25.0,exp2
10,11,665,305,236,framenr_11_framevid_June09_02,25.0,exp2
11,12,645,317,261,framenr_12_framevid_June09_02,25.0,exp2
12,13,567,387,239,framenr_13_framevid_June09_02,25.0,exp2
13,14,663,459,267,framenr_14_framevid_June09_02,25.0,exp2
14,15,623,443,218,framenr_15_framevid_June09_02,25.0,exp2
15,16,921,385,210,framenr_16_framevid_June09_02,25.0,exp2
16,17,649,715,192,framenr_17_framevid_June09_02,25.0,exp2
17,18,671,609,244,framenr_18_framevid_June09_02,25.0,exp2
18,19,715,713,248,framenr_19_framevid_June09_02,25.0,exp2
19,20,699,721,254,framenr_20_framevid_June09_02,25.0,exp2
20,21,545,377,220,framenr_21_framevid_June09_02,25.0,exp2
21,22,587,737,188,framenr_22_framevid_June09_02,25.0,exp2
22,23,635,619,227,framenr_23_framevid_June09_02,25.0,exp2
23,24,747,327,113,framenr_24_framevid_June09_02,25.0,exp2
24,25,679,629,258,framenr_25_framevid_June09_02,25.0,exp2
25,26,385,287,104,framenr_26_framevid_June09_02,25.0,exp2
26,27,531,387,147,framenr_27_framevid_June09_02,25.0,exp2
27,28,401,275,123,framenr_28_framevid_June09_02,25.0,exp2
28,29,703,351,186,framenr_29_framevid_June09_02,25.0,exp2
29,30,749,685,234,framenr_30_framevid_June09_02,25.0,exp2
30,31,681,423,193,framenr_31_framevid_June09_02,25.0,exp2
31,32,683,521,262,framenr_32_framevid_June09_02,25.0,exp2
32,33,973,433,162,framenr_33_framevid_June09_02,25.0,exp2
33,34,687,523,255,framenr_34_framevid_June09_02,25.0,exp2
34,35,547,489,253,framenr_35_framevid_June09_02,25.0,exp2
35,36,667,527,263,framenr_36_framevid_June09_02,25.0,exp2
36,37,975,333,161,framenr_37_framevid_June09_02,25.0,exp2
37,38,705,537,250,framenr_38_framevid_June09_02,25.0,exp2
38,39,549,471,250,framenr_39_framevid_June09_02,25.0,exp2
39,40,687,535,235,framenr_40_framevid_June09_02,25.0,exp2
40,41,689,531,248,framenr_41_framevid_June09_02,25.0,exp2
41,42,577,401,265,framenr_42_framevid_June09_02,25.0,exp2
42,43,685,535,267,framenr_43_framevid_June09_02,25.0,exp2
43,44,953,315,174,framenr_44_framevid_June09_02,25.0,exp2
44,45,659,563,236,framenr_45_framevid_June09_02,25.0,exp2
45,46,689,673,267,framenr_46_framevid_June09_02,25.0,exp2
46,47,703,617,225,framenr_47_framevid_June09_02,25.0,exp2
47,48,731,659,205,framenr_48_framevid_June09_02,25.0,exp2
48,49,783,647,209,framenr_49_framevid_June09_02,25.0,exp2
49,50,779,699,183,framenr_50_framevid_June09_02,25.0,exp2
50,51,759,599,247,framenr_51_framevid_June09_02,25.0,exp2
51,52,773,591,256,framenr_52_framevid_June09_02,25.0,exp2
52,53,777,583,261,framenr_53_framevid_June09_02,25.0,exp2
53,54,779,587,255,framenr_54_framevid_June09_02,25.0,exp2
54,55,789,579,262,framenr_55_framevid_June09_02,25.0,exp2
55,56,795,591,248,framenr_56_framevid_June09_02,25.0,exp2
56,57,811,585,258,framenr_57_framevid_June09_02,25.0,exp2
57,58,811,591,253,framenr_58_framevid_June09_02,25.0,exp2
58,59,787,621,213,framenr_59_framevid_June09_02,25.0,exp2
59,60,811,587,250,framenr_60_framevid_June09_02,25.0,exp2
60,61,807,591,237,framenr_61_framevid_June09_02,25.0,exp2
61,62,801,591,231,framenr_62_framevid_June09_02,25.0,exp2
62,63,807,577,241,framenr_63_framevid_June09_02,25.0,exp2
63,64,809,575,237,framenr_64_framevid_June09_02,25.0,exp2
64,65,803,577,228,framenr_65_framevid_June09_02,25.0,exp2
65,66,781,605,193,framenr_66_framevid_June09_02,25.0,exp2
66,67,803,569,232,framenr_67_framevid_June09_02,25.0,exp2
67,68,799,579,222,framenr_68_framevid_June09_02,25.0,exp2
68,69,785,579,218,framenr_69_framevid_June09_02,25.0,exp2
69,70,823,537,266,framenr_70_framevid_June09_02,25.0,exp2
70,71,825,529,266,framenr_71_framevid_June09_02,25.0,exp2
71,72,819,535,253,framenr_72_framevid_June09_02,25.0,exp2
72,73,833,529,260,framenr_73_framevid_June09_02,25.0,exp2
73,74,839,513,269,framenr_74_framevid_June09_02,25.0,exp2
74,75,653,301,163,framenr_75_framevid_June09_02,25.0,exp2
75,76,833,551,243,framenr_76_framevid_June09_02,25.0,exp2
76,77,619,385,216,framenr_77_framevid_June09_02,25.0,exp2
77,78,823,533,252,framenr_78_framevid_June09_02,25.0,exp2
78,79,825,553,231,framenr_79_framevid_June09_02,25.0,exp2
79,80,813,555,255,framenr_80_framevid_June09_02,25.0,exp2
80,81,839,589,218,framenr_81_framevid_June09_02,25.0,exp2
81,82,825,541,247,framenr_82_framevid_June09_02,25.0,exp2
82,83,821,501,269,framenr_83_framevid_June09_02,25.0,exp2
83,84,815,507,267,framenr_84_framevid_June09_02,25.0,exp2
84,85,827,513,265,framenr_85_framevid_June09_02,25.0,exp2
85,86,595,427,190,framenr_86_framevid_June09_02,25.0,exp2
86,87,471,387,150,framenr_87_framevid_June09_02,25.0,exp2
87,88,789,515,237,framenr_88_framevid_June09_02,25.0,exp2
88,89,809,505,257,framenr_89_framevid_June09_02,25.0,exp2
89,90,779,577,220,framenr_90_framevid_June09_02,25.0,exp2
90,91,823,551,256,framenr_91_framevid_June09_02,25.0,exp2
91,92,817,575,247,framenr_92_framevid_June09_02,25.0,exp2
92,93,833,563,243,framenr_93_framevid_June09_02,25.0,exp2
93,94,457,401,150,framenr_94_framevid_June09_02,25.0,exp2
94,95,455,399,153,framenr_95_framevid_June09_02,25.0,exp2
95,96,779,741,149,framenr_96_framevid_June09_02,25.0,exp2
96,97,453,799,199,framenr_97_framevid_June09_02,25.0,exp2
97,98,909,547,169,framenr_98_framevid_June09_02,25.0,exp2
98,99,581,475,234,framenr_99_framevid_June09_02,25.0,exp2
99,100,441,803,203,framenr_100_framevid_June09_02,25.0,exp2
100,101,733,537,267,framenr_101_framevid_June09_02,25.0,exp2
101,102,895,545,217,framenr_102_framevid_June09_02,25.0,exp2
102,103,945,537,188,framenr_103_framevid_June09_02,25.0,exp2
103,104,977,513,235,framenr_104_framevid_June09_02,25.0,exp2
104,105,667,423,248,framenr_105_framevid_June09_02,25.0,exp2
105,106,651,609,263,framenr_106_framevid_June09_02,25.0,exp2
106,107,667,407,256,framenr_107_framevid_June09_02,25.0,exp2
107,108,659,409,253,framenr_108_framevid_June09_02,25.0,exp2
108,109,455,379,174,framenr_109_framevid_June09_02,25.0,exp2
109,110,675,383,248,framenr_110_framevid_June09_02,25.0,exp2
110,111,445,381,171,framenr_111_framevid_June09_02,25.0,exp2
111,112,495,319,250,framenr_112_framevid_June09_02,25.0,exp2
112,113,443,383,168,framenr_113_framevid_June09_02,25.0,exp2
