,frame,x,y,r,name,sample_rate,examplenr
0,1,1279,734,253,framenr_1_framevid_June16_20,25.0,exp5
1,2,1289,734,260,framenr_2_framevid_June16_20,25.0,exp5
2,3,847,412,257,framenr_3_framevid_June16_20,25.0,exp5
3,4,1263,726,235,framenr_4_framevid_June16_20,25.0,exp5
4,5,931,584,151,framenr_5_framevid_June16_20,25.0,exp5
5,6,821,376,218,framenr_6_framevid_June16_20,25.0,exp5
6,7,881,386,263,framenr_7_framevid_June16_20,25.0,exp5
7,8,851,408,269,framenr_8_framevid_June16_20,25.0,exp5
8,9,1289,768,237,framenr_9_framevid_June16_20,25.0,exp5
9,10,1311,768,256,framenr_10_framevid_June16_20,25.0,exp5
10,11,1295,800,225,framenr_11_framevid_June16_20,25.0,exp5
11,12,847,406,268,framenr_12_framevid_June16_20,25.0,exp5
12,13,883,392,269,framenr_13_framevid_June16_20,25.0,exp5
13,14,941,590,143,framenr_14_framevid_June16_20,25.0,exp5
14,15,1295,812,226,framenr_15_framevid_June16_20,25.0,exp5
15,16,1291,816,225,framenr_16_framevid_June16_20,25.0,exp5
16,17,1289,816,225,framenr_17_framevid_June16_20,25.0,exp5
17,18,1289,818,224,framenr_18_framevid_June16_20,25.0,exp5
18,19,1301,808,237,framenr_19_framevid_June16_20,25.0,exp5
19,20,975,560,159,framenr_20_framevid_June16_20,25.0,exp5
20,21,1305,804,239,framenr_21_framevid_June16_20,25.0,exp5
21,22,1303,802,237,framenr_22_framevid_June16_20,25.0,exp5
22,23,1303,802,235,framenr_23_framevid_June16_20,25.0,exp5
23,24,1301,794,240,framenr_24_framevid_June16_20,25.0,exp5
24,25,979,552,153,framenr_25_framevid_June16_20,25.0,exp5
25,26,979,552,151,framenr_26_framevid_June16_20,25.0,exp5
26,27,1305,794,234,framenr_27_framevid_June16_20,25.0,exp5
27,28,1295,732,252,framenr_28_framevid_June16_20,25.0,exp5
28,29,987,540,157,framenr_29_framevid_June16_20,25.0,exp5
29,30,983,546,152,framenr_30_framevid_June16_20,25.0,exp5
30,31,981,544,153,framenr_31_framevid_June16_20,25.0,exp5
31,32,979,548,149,framenr_32_framevid_June16_20,25.0,exp5
32,33,987,542,160,framenr_33_framevid_June16_20,25.0,exp5
33,34,985,542,160,framenr_34_framevid_June16_20,25.0,exp5
34,35,981,550,153,framenr_35_framevid_June16_20,25.0,exp5
35,36,979,550,156,framenr_36_framevid_June16_20,25.0,exp5
36,37,979,554,154,framenr_37_framevid_June16_20,25.0,exp5
37,38,975,564,146,framenr_38_framevid_June16_20,25.0,exp5
38,39,975,558,154,framenr_39_framevid_June16_20,25.0,exp5
39,40,1299,818,225,framenr_40_framevid_June16_20,25.0,exp5
40,41,971,556,154,framenr_41_framevid_June16_20,25.0,exp5
41,42,1297,744,256,framenr_42_framevid_June16_20,25.0,exp5
42,43,1303,818,224,framenr_43_framevid_June16_20,25.0,exp5
43,44,971,554,153,framenr_44_framevid_June16_20,25.0,exp5
44,45,1297,808,225,framenr_45_framevid_June16_20,25.0,exp5
45,46,1299,808,225,framenr_46_framevid_June16_20,25.0,exp5
46,47,1299,812,222,framenr_47_framevid_June16_20,25.0,exp5
47,48,949,538,158,framenr_48_framevid_June16_20,25.0,exp5
48,49,943,532,162,framenr_49_framevid_June16_20,25.0,exp5
49,50,1301,806,226,framenr_50_framevid_June16_20,25.0,exp5
50,51,929,516,172,framenr_51_framevid_June16_20,25.0,exp5
51,52,919,520,164,framenr_52_framevid_June16_20,25.0,exp5
52,53,911,520,159,framenr_53_framevid_June16_20,25.0,exp5
53,54,1309,800,239,framenr_54_framevid_June16_20,25.0,exp5
54,55,1309,806,237,framenr_55_framevid_June16_20,25.0,exp5
55,56,1297,814,226,framenr_56_framevid_June16_20,25.0,exp5
56,57,881,514,190,framenr_57_framevid_June16_20,25.0,exp5
57,58,873,516,200,framenr_58_framevid_June16_20,25.0,exp5
58,59,1291,752,262,framenr_59_framevid_June16_20,25.0,exp5
