,frame,x,y,r,name,sample_rate,examplenr
0,1,446,434,145,framenr_1_framevid_June09_03,25.0,exp4
1,2,276,406,153,framenr_2_framevid_June09_03,25.0,exp4
2,3,870,658,215,framenr_3_framevid_June09_03,25.0,exp4
3,4,364,446,255,framenr_4_framevid_June09_03,25.0,exp4
4,5,914,618,216,framenr_5_framevid_June09_03,25.0,exp4
5,6,310,466,146,framenr_6_framevid_June09_03,25.0,exp4
6,7,834,306,165,framenr_7_framevid_June09_03,25.0,exp4
7,8,862,290,165,framenr_8_framevid_June09_03,25.0,exp4
8,9,900,296,153,framenr_9_framevid_June09_03,25.0,exp4
9,10,790,264,205,framenr_10_framevid_June09_03,25.0,exp4
10,11,930,258,192,framenr_11_framevid_June09_03,25.0,exp4
11,12,670,166,263,framenr_12_framevid_June09_03,25.0,exp4
12,13,680,202,180,framenr_13_framevid_June09_03,25.0,exp4
13,14,664,366,227,framenr_14_framevid_June09_03,25.0,exp4
14,15,572,502,227,framenr_15_framevid_June09_03,25.0,exp4
15,16,652,506,166,framenr_16_framevid_June09_03,25.0,exp4
16,17,740,494,227,framenr_17_framevid_June09_03,25.0,exp4
17,18,568,644,181,framenr_18_framevid_June09_03,25.0,exp4
18,19,698,606,262,framenr_19_framevid_June09_03,25.0,exp4
19,20,808,588,181,framenr_20_framevid_June09_03,25.0,exp4
20,21,866,618,206,framenr_21_framevid_June09_03,25.0,exp4
21,22,908,626,221,framenr_22_framevid_June09_03,25.0,exp4
22,23,932,632,222,framenr_23_framevid_June09_03,25.0,exp4
23,24,948,646,213,framenr_24_framevid_June09_03,25.0,exp4
24,25,980,652,222,framenr_25_framevid_June09_03,25.0,exp4
25,26,966,662,190,framenr_26_framevid_June09_03,25.0,exp4
26,27,972,638,179,framenr_27_framevid_June09_03,25.0,exp4
27,28,988,668,191,framenr_28_framevid_June09_03,25.0,exp4
28,29,990,682,185,framenr_29_framevid_June09_03,25.0,exp4
29,30,1018,648,200,framenr_30_framevid_June09_03,25.0,exp4
30,31,956,682,132,framenr_31_framevid_June09_03,25.0,exp4
31,32,1012,674,182,framenr_32_framevid_June09_03,25.0,exp4
32,33,1022,662,184,framenr_33_framevid_June09_03,25.0,exp4
33,34,1012,676,144,framenr_34_framevid_June09_03,25.0,exp4
34,35,1056,658,200,framenr_35_framevid_June09_03,25.0,exp4
35,36,1040,654,181,framenr_36_framevid_June09_03,25.0,exp4
36,37,928,420,202,framenr_37_framevid_June09_03,25.0,exp4
37,38,1058,664,184,framenr_38_framevid_June09_03,25.0,exp4
38,39,478,762,258,framenr_39_framevid_June09_03,25.0,exp4
39,40,422,662,268,framenr_40_framevid_June09_03,25.0,exp4
40,41,1034,640,178,framenr_41_framevid_June09_03,25.0,exp4
41,42,396,704,266,framenr_42_framevid_June09_03,25.0,exp4
42,43,374,694,269,framenr_43_framevid_June09_03,25.0,exp4
43,44,350,688,269,framenr_44_framevid_June09_03,25.0,exp4
44,45,900,586,197,framenr_45_framevid_June09_03,25.0,exp4
45,46,832,564,170,framenr_46_framevid_June09_03,25.0,exp4
46,47,722,530,180,framenr_47_framevid_June09_03,25.0,exp4
47,48,464,284,85,framenr_48_framevid_June09_03,25.0,exp4
48,49,506,512,200,framenr_49_framevid_June09_03,25.0,exp4
49,50,430,480,238,framenr_50_framevid_June09_03,25.0,exp4
50,51,526,448,266,framenr_51_framevid_June09_03,25.0,exp4
51,52,496,368,258,framenr_52_framevid_June09_03,25.0,exp4
52,53,470,350,235,framenr_53_framevid_June09_03,25.0,exp4
53,54,416,268,212,framenr_54_framevid_June09_03,25.0,exp4
54,55,456,374,262,framenr_55_framevid_June09_03,25.0,exp4
55,56,464,448,263,framenr_56_framevid_June09_03,25.0,exp4
56,57,344,560,208,framenr_57_framevid_June09_03,25.0,exp4
57,58,276,578,242,framenr_58_framevid_June09_03,25.0,exp4
58,59,270,738,198,framenr_59_framevid_June09_03,25.0,exp4
59,60,246,820,175,framenr_60_framevid_June09_03,25.0,exp4
