,frame,x,y,r,name,sample_rate,examplenr
0,1,1233,478,218,framenr_1_framevid_June12_01,25.0,exp3
1,2,1303,428,37,framenr_2_framevid_June12_01,25.0,exp3
2,3,1297,542,122,framenr_3_framevid_June12_01,25.0,exp3
3,4,1327,474,142,framenr_4_framevid_June12_01,25.0,exp3
4,5,1119,532,37,framenr_5_framevid_June12_01,25.0,exp3
5,6,1099,550,175,framenr_6_framevid_June12_01,25.0,exp3
6,7,1299,530,124,framenr_7_framevid_June12_01,25.0,exp3
7,8,1227,454,203,framenr_8_framevid_June12_01,25.0,exp3
8,9,1229,384,221,framenr_9_framevid_June12_01,25.0,exp3
9,10,1309,542,105,framenr_10_framevid_June12_01,25.0,exp3
10,11,1239,462,212,framenr_11_framevid_June12_01,25.0,exp3
11,12,1237,456,217,framenr_12_framevid_June12_01,25.0,exp3
12,13,1239,456,196,framenr_13_framevid_June12_01,25.0,exp3
13,14,1253,470,195,framenr_14_framevid_June12_01,25.0,exp3
14,15,1319,596,47,framenr_15_framevid_June12_01,25.0,exp3
15,16,1263,470,184,framenr_16_framevid_June12_01,25.0,exp3
16,17,1253,494,89,framenr_17_framevid_June12_01,25.0,exp3
17,18,1313,516,96,framenr_18_framevid_June12_01,25.0,exp3
18,19,1135,460,23,framenr_19_framevid_June12_01,25.0,exp3
19,20,1133,462,21,framenr_20_framevid_June12_01,25.0,exp3
20,21,1249,410,108,framenr_21_framevid_June12_01,25.0,exp3
21,22,1335,574,64,framenr_22_framevid_June12_01,25.0,exp3
22,23,1135,474,18,framenr_23_framevid_June12_01,25.0,exp3
23,24,1315,562,97,framenr_24_framevid_June12_01,25.0,exp3
24,25,NA,NA,NA,framenr_25_framevid_June12_01,25.0,exp3
25,26,1321,572,92,framenr_26_framevid_June12_01,25.0,exp3
26,27,1263,496,192,framenr_27_framevid_June12_01,25.0,exp3
27,28,1313,544,105,framenr_28_framevid_June12_01,25.0,exp3
28,29,1215,460,99,framenr_29_framevid_June12_01,25.0,exp3
29,30,NA,NA,NA,framenr_30_framevid_June12_01,25.0,exp3
30,31,NA,NA,NA,framenr_31_framevid_June12_01,25.0,exp3
31,32,NA,NA,NA,framenr_32_framevid_June12_01,25.0,exp3
32,33,1021,806,36,framenr_33_framevid_June12_01,25.0,exp3
33,34,1233,470,225,framenr_34_framevid_June12_01,25.0,exp3
34,35,1239,472,223,framenr_35_framevid_June12_01,25.0,exp3
35,36,1335,586,94,framenr_36_framevid_June12_01,25.0,exp3
36,37,1275,510,192,framenr_37_framevid_June12_01,25.0,exp3
37,38,1275,510,191,framenr_38_framevid_June12_01,25.0,exp3
38,39,1087,546,10,framenr_39_framevid_June12_01,25.0,exp3
39,40,NA,NA,NA,framenr_40_framevid_June12_01,25.0,exp3
40,41,1019,798,24,framenr_41_framevid_June12_01,25.0,exp3
41,42,1287,508,190,framenr_42_framevid_June12_01,25.0,exp3
42,43,1231,474,233,framenr_43_framevid_June12_01,25.0,exp3
43,44,NA,NA,NA,framenr_44_framevid_June12_01,25.0,exp3
44,45,1353,592,86,framenr_45_framevid_June12_01,25.0,exp3
45,46,1253,542,192,framenr_46_framevid_June12_01,25.0,exp3
