,frame,x,y,r,name,sample_rate,examplenr
0,1,1199,442,247,framenr_1_framevid_June12_01,25.0,exp2
1,2,1197,444,244,framenr_2_framevid_June12_01,25.0,exp2
2,3,1195,452,239,framenr_3_framevid_June12_01,25.0,exp2
3,4,1193,438,245,framenr_4_framevid_June12_01,25.0,exp2
4,5,1197,440,240,framenr_5_framevid_June12_01,25.0,exp2
5,6,1063,568,137,framenr_6_framevid_June12_01,25.0,exp2
6,7,1209,444,226,framenr_7_framevid_June12_01,25.0,exp2
7,8,1193,434,243,framenr_8_framevid_June12_01,25.0,exp2
8,9,1191,444,240,framenr_9_framevid_June12_01,25.0,exp2
9,10,1211,444,224,framenr_10_framevid_June12_01,25.0,exp2
10,11,1219,450,215,framenr_11_framevid_June12_01,25.0,exp2
11,12,1217,444,219,framenr_12_framevid_June12_01,25.0,exp2
12,13,1197,428,246,framenr_13_framevid_June12_01,25.0,exp2
13,14,1207,430,235,framenr_14_framevid_June12_01,25.0,exp2
14,15,1201,426,242,framenr_15_framevid_June12_01,25.0,exp2
15,16,1195,426,245,framenr_16_framevid_June12_01,25.0,exp2
16,17,1191,422,250,framenr_17_framevid_June12_01,25.0,exp2
17,18,1199,434,235,framenr_18_framevid_June12_01,25.0,exp2
18,19,1191,436,239,framenr_19_framevid_June12_01,25.0,exp2
19,20,1193,434,241,framenr_20_framevid_June12_01,25.0,exp2
20,21,1193,436,241,framenr_21_framevid_June12_01,25.0,exp2
21,22,1277,508,132,framenr_22_framevid_June12_01,25.0,exp2
22,23,1197,440,242,framenr_23_framevid_June12_01,25.0,exp2
23,24,1263,510,150,framenr_24_framevid_June12_01,25.0,exp2
24,25,1205,450,238,framenr_25_framevid_June12_01,25.0,exp2
25,26,1055,580,131,framenr_26_framevid_June12_01,25.0,exp2
26,27,1241,486,195,framenr_27_framevid_June12_01,25.0,exp2
27,28,1099,476,133,framenr_28_framevid_June12_01,25.0,exp2
28,29,1259,502,177,framenr_29_framevid_June12_01,25.0,exp2
29,30,1257,500,185,framenr_30_framevid_June12_01,25.0,exp2
30,31,1265,482,190,framenr_31_framevid_June12_01,25.0,exp2
31,32,1263,512,175,framenr_32_framevid_June12_01,25.0,exp2
32,33,1119,480,129,framenr_33_framevid_June12_01,25.0,exp2
33,34,1099,704,73,framenr_34_framevid_June12_01,25.0,exp2
34,35,1197,458,263,framenr_35_framevid_June12_01,25.0,exp2
35,36,1003,554,187,framenr_36_framevid_June12_01,25.0,exp2
36,37,957,410,251,framenr_37_framevid_June12_01,25.0,exp2
37,38,1255,494,196,framenr_38_framevid_June12_01,25.0,exp2
38,39,1249,498,199,framenr_39_framevid_June12_01,25.0,exp2
39,40,1199,452,269,framenr_40_framevid_June12_01,25.0,exp2
40,41,1273,512,176,framenr_41_framevid_June12_01,25.0,exp2
41,42,1271,504,184,framenr_42_framevid_June12_01,25.0,exp2
42,43,921,666,250,framenr_43_framevid_June12_01,25.0,exp2
43,44,1259,572,218,framenr_44_framevid_June12_01,25.0,exp2
44,45,1277,500,184,framenr_45_framevid_June12_01,25.0,exp2
45,46,1283,522,168,framenr_46_framevid_June12_01,25.0,exp2
