frame,radius,x,y
87,135.6685745,1013.696934,606.9896966
88,134.013549,1015.986786,619.314279
89,132.2273628,1023.086502,619.4688762
90,129.3218782,1024.479461,624.7469309
91,127.4445979,1025.722088,630.052473
92,128.7090487,1023.775502,633.5806517
93,126.4887024,1019.754473,636.9067125
94,123.586841,1022.826871,637.2573095
95,122.2508844,1018.050751,637.6621505
96,122.3956069,1016.645773,635.6409776
97,122.3424246,1016.94225,632.1395688
98,124.2500242,1012.120321,632.5668784
99,120.2479288,1016.990271,620.8833275
100,132.0551215,1021.102293,594.7280922
101,130.9577723,1004.101242,578.2734057
102,134.7485245,997.7528106,568.1085544
103,141.5647038,998.8523871,578.5696526
104,134.6194666,1009.511826,613.4235304
105,140.8127196,1000.841837,611.0355338
106,138.0438245,987.5428711,603.6948807
107,142.8277906,974.3162499,600.6187994
108,134.9425315,975.4288299,605.1178307
109,133.8458702,978.6157023,611.0527854
110,131.5576049,981.6555865,617.4480082
111,131.6054603,985.0952793,623.8485238
112,130.4900826,986.3385148,625.6386967
113,130.2144177,986.3681816,628.0673082
114,129.5033665,985.8429752,628.9893438
115,129.8462781,986.0227079,633.3968855
116,129.266758,985.9588196,635.2765894
117,128.6276263,985.2071147,637.0632352
118,128.4004533,985.2792789,639.3501494
119,128.4349143,986.313927,639.8989801
120,128.4908366,987.430858,639.1213185
121,128.086454,988.6774114,640.751901
122,127.9093386,992.747284,641.1151934
123,127.6899486,995.0444569,641.0343285
124,127.3951951,996.589021,639.1270713
125,125.7703487,996.4389754,633.5101416
126,127.2238895,995.0815316,623.5907244
127,128.8975665,979.8887863,595.4129776
128,133.0339107,977.021827,576.4118978
129,134.2047632,981.2260088,577.0438053
130,138.8431218,993.4319797,598.6625456
131,138.1139118,998.1058855,618.129394
132,137.4140578,997.1016379,610.0189469
133,135.3926222,982.5294184,600.1454932
134,136.0115948,980.3433592,597.1939286
135,134.7502496,985.3305985,598.9735543
136,132.543194,988.3928816,605.9527894
137,130.7558426,991.238171,610.0482651
138,129.4990915,992.1996203,613.8706979
139,129.2382436,991.2191816,615.2111116
140,128.2996588,990.3191949,619.4493263
141,127.7006047,990.9187782,622.6927479
142,127.573283,990.8390449,625.5428522
143,127.9006391,992.5676931,629.8444473
144,128.6954564,995.0974033,632.6926448
145,126.7366254,996.5676626,630.0167653
146,129.8563103,998.653595,622.3170831
147,132.3895575,991.6945167,609.7354735
148,136.7477299,985.0860976,590.5086881
149,138.8929494,987.1974017,587.300053
150,143.4293837,999.7040318,599.799055
151,147.2931373,1017.755054,610.8789272
152,143.7377031,1025.278055,626.2462129
153,142.8071834,1024.255377,618.5301902
154,143.5669577,1015.130026,608.8525599
155,141.5755224,1016.929013,613.3479539
156,139.9969825,1024.484506,614.5673671
157,139.1975954,1028.314557,622.9170446
158,138.5000907,1028.275658,628.0291569
159,136.8204117,1027.912067,632.6957158
160,135.202088,1024.36323,633.2944073
161,133.9386742,1021.649898,634.7338884
162,133.7067423,1018.562756,632.8305099
163,131.9824529,1013.300308,629.9619876
164,131.3123404,1001.641785,601.7371726
165,138.3028207,988.6926889,590.4015512
166,141.8428673,978.116283,590.3030062
167,143.4650494,976.261296,595.999631
168,142.89161,979.8887394,620.8232591
169,143.1093202,985.2950664,640.5529435
170,141.828711,986.0892161,642.8055491
171,146.3023245,980.7278757,649.3470129
172,144.1464441,992.3102183,656.3099052
173,143.9727849,997.2724295,674.335163
174,143.9707368,1007.354834,687.1160528
175,146.8937415,1009.025962,694.9547934
176,143.5051756,1010.953606,706.5245197
177,143.1046731,1014.211617,710.3775006
178,144.9017615,1016.415484,709.8236928
179,139.8011286,1015.927379,717.7812077
180,144.9393177,1018.676178,713.0263144
181,142.6206883,1019.835164,715.805979
182,141.1656824,1019.425958,717.2228229
183,139.3345116,1019.16326,717.7414813
184,137.2117198,1019.086811,718.1349777
185,139.7634067,1018.335688,708.8790252
186,134.5207933,1017.807254,708.2368138
187,NA,NA,NA
188,132.9526009,1017.431122,676.0934576
189,NA,NA,NA
190,134.7946602,990.0781592,597.52013
191,138.5897618,995.3297107,593.5104868
192,137.0013046,1021.180147,610.2218784
193,144.0073754,1038.935058,620.804904
194,142.424642,1041.764633,624.6428687
195,141.0257488,1034.968232,616.3371667
196,141.0946051,1029.228235,621.2420739
197,139.0587759,1033.893015,627.4302359
198,130.2686311,1030.620772,640.6036417
199,138.0992268,1046.666838,635.687945
200,128.305452,1038.427552,650.5890081
201,126.3445495,1038.158581,651.5123989
202,125.4935846,1037.359752,651.990076
203,124.7390486,1036.885204,651.8142418
204,124.8995257,1036.794687,650.6012556
205,124.4457744,1036.847629,648.9068331
206,124.2108828,1036.977788,646.2104432
207,123.9237333,1038.197836,637.3316364
208,125.4387083,1039.459299,620.527031
209,132.2513034,1036.894784,595.1935067
210,135.9371843,1024.765049,574.928444
211,141.544977,1028.083467,556.9920366
212,149.4291554,1025.509348,554.7730589
213,152.8931643,1019.028208,551.9937084
214,148.4757725,1022.993556,548.9990149
215,150.1383629,1026.483496,559.9719499
216,149.4778835,1026.695345,574.3874509
217,148.0200931,1021.097634,568.8659612
218,146.0146984,1010.504466,553.7721858
219,147.9830672,1004.017371,548.4893177
220,145.0553698,996.4693478,546.9260584
221,140.1629964,980.1785596,547.9764032
222,136.3680948,961.9041483,555.9726358
223,131.8105739,954.7102291,556.1993925
224,166.7818489,986.1200259,529.65081
225,170.2015483,990.0724876,524.8001742
226,168.9155354,988.8399716,524.2170359
227,168.3916686,990.5715595,521.5904892
228,163.5096206,986.7554703,524.3727635
229,167.0390566,997.562155,520.2979128
230,173.9169169,1007.912513,507.9081681
231,174.7774049,1003.61099,505.8663759
232,173.5169989,1000.147798,510.0191582
233,177.3844361,1002.989129,509.9856602
234,174.4062764,992.7805886,510.5562464
235,174.0539517,981.8342463,516.4471358
236,169.5514963,969.4239596,528.4436372
237,159.464926,958.0652403,544.9065111
238,158.2658299,959.4691629,559.7778051
239,152.854643,957.9666773,578.3197023
240,151.670301,944.2066245,576.7851917
241,152.4398585,934.4105816,565.1884262
242,154.5807325,936.8886137,556.3219474
243,152.1812606,934.9798505,558.4357839
244,152.2574329,940.5029144,559.3245521
245,262.2203857,1057.140354,517.4286971
246,213.4999639,1005.06143,502.9442572
247,208.4685335,1000.734241,501.6658476
248,207.2552737,1001.41078,498.8565062
249,205.6486356,1002.144615,499.623518
250,151.7081178,957.1603116,547.4107194
251,151.7308813,959.0585129,548.9348344
252,151.1361087,965.1550537,548.6654349
253,151.0324389,968.7066856,546.8712252
254,209.3898308,1023.876583,495.4910511
255,159.9684058,984.1800679,533.5518801
256,166.0481666,994.7611002,526.1086701
257,165.6792354,997.6786568,521.7555907
258,169.8424422,1003.788595,511.9231757
259,NA,NA,NA
260,183.62107,1014.944659,495.4813961
261,183.6954213,1018.087423,494.764945
262,NA,NA,NA
263,191.8626117,1031.276735,485.8782825
264,195.0481136,1032.437999,497.2011391
265,177.2184992,1010.813857,508.0159593
266,177.7122155,1007.647769,513.1296136
267,175.8693247,1000.81471,521.330139
268,175.2147194,996.6641043,527.554219
269,176.4081724,993.5021635,532.8488146
270,172.7305151,979.4705272,541.9445425
271,171.5870808,971.6256109,548.3082393
272,172.0485369,961.6588673,554.2138464
273,168.597113,948.9515512,560.0646357
274,171.3166116,945.9386568,560.901388
275,169.9934402,944.7351047,563.4565669
276,162.9924317,940.6226739,571.216245
277,273.5293867,1065.192919,529.8724127
278,155.4092363,938.8276378,591.0482275
279,236.2418137,1010.542596,511.1258765
280,230.1576572,994.1354988,511.3939401
281,151.8935894,919.6248401,581.3718899
282,153.9676288,914.2340067,571.0073361
283,156.7322604,916.8919787,558.9120112
284,158.1662308,922.3324188,553.2904833
285,159.2955934,930.5803805,549.523887
286,159.683589,937.6913306,547.2099565
287,164.022045,948.049114,540.140811
288,164.7777971,953.2912635,527.748146
289,165.4230751,962.2242514,516.9796306
290,170.072151,973.035024,504.6930567
291,171.5529869,978.3516409,496.0268057
292,167.8640489,980.7613531,494.1369412
293,178.2795961,996.2332585,482.0025794
294,173.3589966,988.1470536,483.1241877
295,179.7235211,991.3188437,480.7211472
296,181.929692,993.6368096,480.8001299
297,183.18506,991.4239031,481.0264492
298,181.4818739,985.063182,485.2212368
299,181.5732061,981.4579209,489.1411234
300,181.7523012,977.3070082,495.5401906
301,178.3708188,968.4337058,502.2560879
302,177.2581299,962.7632788,507.7224982
303,178.2535953,958.204316,511.7872616
304,180.7191713,957.346946,516.0595375
305,178.133444,951.8732696,522.7134915
306,179.0776704,950.5747001,525.5686438
307,178.9973896,948.3582457,529.9441076
308,179.2894948,948.0326209,536.7793057
309,178.149584,945.5635336,542.4003663
310,174.6364686,944.3599772,548.2831229
311,156.3753904,935.4777586,568.961507
312,158.8151356,942.3915496,568.2055271
313,158.7499668,945.5836318,561.3102829
314,160.2724643,951.7838468,552.0196173
315,161.3199054,957.3174208,536.0467747
316,166.5011422,966.708977,512.1999431
317,168.3340542,980.5287723,485.7163314
318,170.8289253,999.990278,458.7956813
319,171.9441983,1016.623558,423.9977633
320,174.8129251,1031.041353,398.9295647
321,167.6790339,1036.502575,369.6997809
322,NA,NA,NA
323,NA,NA,NA
