frame,radius,x,y
1,NA,NA,NA
2,125.866495,1014.312499,598.8769074
3,151.8037885,1026.029664,581.0366311
4,145.984776,1024.712662,575.7782956
5,148.9564639,1020.571991,551.5955807
6,150.7480179,1020.251848,541.6079063
7,149.1250388,1019.151341,541.7329184
8,145.9853232,1016.729642,540.2689105
9,144.7425751,1017.584504,542.753518
10,144.423227,1021.148062,544.4145651
11,144.3258663,1022.723446,542.7179456
12,145.403157,1025.016073,542.4490977
13,146.202799,1025.744555,539.8219245
14,144.923644,1025.458175,530.9449862
15,145.3389504,1026.20001,528.713704
16,143.7071965,1024.854706,526.06851
17,143.4564682,1024.45148,526.8414047
18,143.2619276,1024.708062,525.7162521
19,129.7590504,1022.432304,500.4751832
20,143.6374701,1008.347597,552.1206381
21,141.8131633,998.4792401,561.0928762
22,143.0109491,993.1588489,597.4565259
23,NA,NA,NA
24,NA,NA,NA
25,150.3172211,973.3501389,655.2287343
26,148.4067537,963.4694574,655.2468605
27,152.937144,965.6056886,649.3440151
28,130.8186702,960.1657033,679.8531122
29,142.7105003,979.3178525,695.8831827
30,NA,NA,NA
31,132.9234321,989.4748103,737.2285833
32,130.7148314,991.8716398,745.945057
33,135.0792249,1003.409805,737.5224423
34,136.4270723,1008.377629,745.9573604
35,132.7911096,1007.182852,740.9258141
36,133.7092798,1010.298155,747.3558286
37,132.8131046,1009.639947,728.850862
38,131.7940194,1011.110444,713.6167953
39,136.2797115,1010.056485,694.0414436
40,144.3926335,1002.748269,682.3732094
41,147.6132733,1020.179806,687.2092419
42,147.3651487,1033.734787,700.9516975
43,149.3993424,1047.878121,721.8900932
44,146.3170446,1051.882062,736.0771341
45,144.3103054,1052.044621,734.4907055
46,139.0371488,1041.694668,752.3512158
47,137.1614295,1040.711479,771.8543751
48,141.4939599,1050.852364,785.1932942
49,129.8992341,1043.126911,818.6025264
50,132.1796313,1044.843617,840.3161312
51,129.1661606,1039.941791,837.8944108
52,129.0824066,1038.389638,843.2856941
53,142.9937348,1039.686747,824.3441752
54,140.5491057,1036.426482,829.2654563
55,146.8115177,1035.02938,822.6042287
56,141.8906618,1033.714951,828.0550258
57,144.2507401,1036.034528,822.2775841
58,144.3360855,1035.191182,818.1879557
59,NA,NA,NA
60,NA,NA,NA
61,NA,NA,NA
62,125.9685502,1021.849628,737.6676643
63,138.4040801,1021.068854,705.5419698
64,140.0110195,1034.911726,708.1295039
65,140.0479415,1043.079775,709.5716531
66,139.5623719,1047.980461,695.3471606
67,138.8078506,1041.398429,681.4007854
68,136.394309,1034.242817,685.0254988
69,134.4256294,1029.756149,696.0928965
70,130.5503162,1034.24151,696.0338244
71,129.5615954,1032.069708,694.592937
72,130.5669698,1033.551015,691.6388482
73,128.8066771,1031.32169,692.3557802
74,128.0539242,1027.972092,691.7452118
75,132.0026105,1032.244845,685.6132666
76,128.0996581,1023.868011,684.0486199
77,130.7377105,1028.646019,676.8131683
78,125.2783714,1020.064858,682.0618989
79,126.9270138,1016.517856,672.4397808
80,118.9977327,1018.13887,670.730473
81,NA,NA,NA
82,138.9437577,998.6575613,610.5787413
83,143.3903271,1008.20329,604.9642737
84,136.5280167,1020.362405,628.6225957
85,143.5453318,1027.367551,620.7964448
86,139.4680693,1022.012966,611.8816426
