"Begin Time - msec","End Time - msec","boom_sequence","intervals"
673880,674430,,"1_boom"
673880,680540,"1",
674442,674708,,"1_bark"
674722,675248,,"2_boom"
675258,675486,,"2_bark"
675856,676476,,"3_boom"
676478,676698,,"3_bark"
676798,677314,,"4_boom"
677334,677558,,"4_bark"
678022,678536,,"5_boom"
678568,678780,,"5_bark"
678856,679316,,"6_boom"
679334,679566,,"6_bark"
679610,680024,,"7_boom"
680028,680232,,"7_bark"

