scorer,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_280000
bodyparts,UpperLip,UpperLip,UpperLip,LowerLip,LowerLip,LowerLip,Nose,Nose,Nose,EyeBridge,EyeBridge,EyeBridge,Start_outline_outer_left,Start_outline_outer_left,Start_outline_outer_left,Start_outline_outer_right,Start_outline_outer_right,Start_outline_outer_right,LowestPoint_outline,LowestPoint_outline,LowestPoint_outline,MidLowleft_outline,MidLowleft_outline,MidLowleft_outline,MidLowright_outline,MidLowright_outline,MidLowright_outline
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1217.2554931640625,213.04466247558594,0.9813003540039062,1186.601318359375,196.17730712890625,0.8896301984786987,1187.0401611328125,203.66004943847656,0.9934160709381104,1110.388427734375,175.91336059570312,0.530224621295929,1062.493896484375,346.51904296875,0.013893021270632744,1229.044189453125,348.656005859375,0.9676485061645508,1156.3876953125,533.52734375,0.05794829875230789,1062.607421875,535.5777587890625,0.022387009114027023,1221.1719970703125,449.7367858886719,0.9609455466270447
1,1217.2554931640625,240.84730529785156,0.9975224137306213,1207.7669677734375,256.21063232421875,0.996809184551239,1187.0401611328125,203.66004943847656,0.9228941202163696,1110.388427734375,175.91336059570312,0.9818733930587769,1218.572021484375,346.51904296875,0.2960590124130249,1229.044189453125,348.656005859375,0.9992498755455017,1207.083984375,533.52734375,0.9818166494369507,1138.708740234375,596.4078369140625,0.04227234050631523,1231.877197265625,449.7367858886719,0.9358463883399963
2,1217.2554931640625,240.84730529785156,0.024050232023000717,1207.7669677734375,256.21063232421875,0.008033822290599346,1187.0401611328125,203.66004943847656,0.004099642857909203,1110.388427734375,175.91336059570312,0.6507469415664673,1218.572021484375,346.51904296875,0.015260962769389153,1229.044189453125,348.656005859375,0.9964834451675415,1208.0428466796875,533.52734375,0.994026780128479,1138.708740234375,596.4078369140625,0.013384256511926651,1231.877197265625,509.43475341796875,0.03696203976869583
3,1217.236572265625,240.84730529785156,0.00981813482940197,1207.7669677734375,256.21063232421875,0.0047353170812129974,1084.4288330078125,194.2847900390625,0.017303582280874252,1080.19775390625,175.91336059570312,0.997600257396698,1213.1094970703125,338.2803039550781,0.014128257520496845,1218.335205078125,337.6351013183594,0.9995090961456299,1208.525390625,533.52734375,0.9981889128684998,1138.708740234375,535.5777587890625,0.05379938706755638,1224.041259765625,509.43475341796875,0.49138355255126953
4,1217.236572265625,498.203369140625,0.528499186038971,1207.7669677734375,517.8512573242188,0.3823147714138031,1084.4288330078125,194.2847900390625,0.031287457793951035,1080.19775390625,175.91336059570312,0.9984304308891296,1213.1094970703125,338.2803039550781,0.011816449463367462,1210.9859619140625,337.6351013183594,0.9967957139015198,1208.525390625,533.52734375,0.9895703792572021,1204.6923828125,535.5777587890625,0.019470375031232834,1223.0999755859375,511.4429016113281,0.10702483355998993
5,1217.236572265625,511.1712341308594,0.007920630276203156,1220.633544921875,523.92236328125,0.003535051364451647,1084.4288330078125,194.2847900390625,0.024768276140093803,1080.19775390625,189.2115936279297,0.20329907536506653,1213.1094970703125,338.2803039550781,0.0021445048041641712,1210.9859619140625,337.6351013183594,0.9274486303329468,1210.2998046875,544.4560546875,0.7994035482406616,1142.0186767578125,566.9930419921875,0.0021980791352689266,1224.041259765625,514.380126953125,0.42956116795539856
6,1217.236572265625,511.1712341308594,0.01341528445482254,1220.633544921875,517.8512573242188,0.0021816666703671217,1221.35595703125,565.8167724609375,0.0027832903433591127,1058.975341796875,351.1258850097656,0.005049008410423994,1206.3326416015625,402.3075866699219,0.00634803157299757,1204.963134765625,403.35272216796875,0.8230258822441101,1215.96875,593.2548217773438,0.05912832170724869,1142.0186767578125,566.9930419921875,0.006360387429594994,1224.041259765625,567.6173095703125,0.9584277272224426
7,1217.236572265625,511.1712341308594,0.013600523583590984,1220.633544921875,517.8512573242188,0.003754447214305401,1221.35595703125,565.8167724609375,0.0034825485199689865,1038.5272216796875,385.1712646484375,0.0022175288759171963,1206.3326416015625,402.3075866699219,0.002639343496412039,1200.9757080078125,468.93310546875,0.915210485458374,1221.8677978515625,628.6226806640625,0.3209996819496155,1144.4273681640625,739.9398803710938,0.004981390666216612,1228.79345703125,621.564697265625,0.752504825592041
