,frame,x,y,r,namefr,sample_rate
0,1,208,68,123,framenr_1_framevid_green_tree_frog_example1,29.97002997002997
1,2,292,236,122,framenr_2_framevid_green_tree_frog_example1,29.97002997002997
2,3,400,150,90,framenr_3_framevid_green_tree_frog_example1,29.97002997002997
3,4,208,82,111,framenr_4_framevid_green_tree_frog_example1,29.97002997002997
4,5,326,190,89,framenr_5_framevid_green_tree_frog_example1,29.97002997002997
5,6,208,74,118,framenr_6_framevid_green_tree_frog_example1,29.97002997002997
6,7,206,88,103,framenr_7_framevid_green_tree_frog_example1,29.97002997002997
7,8,206,76,114,framenr_8_framevid_green_tree_frog_example1,29.97002997002997
8,9,272,108,47,framenr_9_framevid_green_tree_frog_example1,29.97002997002997
9,10,208,78,113,framenr_10_framevid_green_tree_frog_example1,29.97002997002997
10,11,414,186,114,framenr_11_framevid_green_tree_frog_example1,29.97002997002997
11,12,420,190,120,framenr_12_framevid_green_tree_frog_example1,29.97002997002997
12,13,424,194,123,framenr_13_framevid_green_tree_frog_example1,29.97002997002997
13,14,420,180,110,framenr_14_framevid_green_tree_frog_example1,29.97002997002997
14,15,202,104,83,framenr_15_framevid_green_tree_frog_example1,29.97002997002997
15,16,424,188,116,framenr_16_framevid_green_tree_frog_example1,29.97002997002997
16,17,204,76,111,framenr_17_framevid_green_tree_frog_example1,29.97002997002997
17,18,420,190,120,framenr_18_framevid_green_tree_frog_example1,29.97002997002997
18,19,420,178,108,framenr_19_framevid_green_tree_frog_example1,29.97002997002997
19,20,418,176,105,framenr_20_framevid_green_tree_frog_example1,29.97002997002997
20,21,316,242,100,framenr_21_framevid_green_tree_frog_example1,29.97002997002997
21,22,320,244,104,framenr_22_framevid_green_tree_frog_example1,29.97002997002997
22,23,196,120,69,framenr_23_framevid_green_tree_frog_example1,29.97002997002997
23,24,196,122,67,framenr_24_framevid_green_tree_frog_example1,29.97002997002997
24,25,200,82,105,framenr_25_framevid_green_tree_frog_example1,29.97002997002997
25,26,420,154,83,framenr_26_framevid_green_tree_frog_example1,29.97002997002997
26,27,194,122,65,framenr_27_framevid_green_tree_frog_example1,29.97002997002997
27,28,368,188,37,framenr_28_framevid_green_tree_frog_example1,29.97002997002997
28,29,374,176,50,framenr_29_framevid_green_tree_frog_example1,29.97002997002997
29,30,182,126,67,framenr_30_framevid_green_tree_frog_example1,29.97002997002997
30,31,188,122,64,framenr_31_framevid_green_tree_frog_example1,29.97002997002997
31,32,190,90,96,framenr_32_framevid_green_tree_frog_example1,29.97002997002997
32,33,412,156,85,framenr_33_framevid_green_tree_frog_example1,29.97002997002997
33,34,186,92,95,framenr_34_framevid_green_tree_frog_example1,29.97002997002997
34,35,182,94,91,framenr_35_framevid_green_tree_frog_example1,29.97002997002997
35,36,376,172,56,framenr_36_framevid_green_tree_frog_example1,29.97002997002997
36,37,408,134,63,framenr_37_framevid_green_tree_frog_example1,29.97002997002997
37,38,178,130,55,framenr_38_framevid_green_tree_frog_example1,29.97002997002997
38,39,178,134,52,framenr_39_framevid_green_tree_frog_example1,29.97002997002997
39,40,178,92,93,framenr_40_framevid_green_tree_frog_example1,29.97002997002997
40,41,308,244,123,framenr_41_framevid_green_tree_frog_example1,29.97002997002997
41,42,298,240,112,framenr_42_framevid_green_tree_frog_example1,29.97002997002997
42,43,170,124,61,framenr_43_framevid_green_tree_frog_example1,29.97002997002997
43,44,308,244,122,framenr_44_framevid_green_tree_frog_example1,29.97002997002997
44,45,60,62,58,framenr_45_framevid_green_tree_frog_example1,29.97002997002997
45,46,410,140,75,framenr_46_framevid_green_tree_frog_example1,29.97002997002997
46,47,180,78,108,framenr_47_framevid_green_tree_frog_example1,29.97002997002997
47,48,278,174,105,framenr_48_framevid_green_tree_frog_example1,29.97002997002997
48,49,180,108,77,framenr_49_framevid_green_tree_frog_example1,29.97002997002997
49,50,186,142,42,framenr_50_framevid_green_tree_frog_example1,29.97002997002997
50,51,178,110,72,framenr_51_framevid_green_tree_frog_example1,29.97002997002997
51,52,278,184,120,framenr_52_framevid_green_tree_frog_example1,29.97002997002997
52,53,328,178,30,framenr_53_framevid_green_tree_frog_example1,29.97002997002997
53,54,404,174,104,framenr_54_framevid_green_tree_frog_example1,29.97002997002997
54,55,190,70,112,framenr_55_framevid_green_tree_frog_example1,29.97002997002997
55,56,192,70,112,framenr_56_framevid_green_tree_frog_example1,29.97002997002997
56,57,194,72,110,framenr_57_framevid_green_tree_frog_example1,29.97002997002997
57,58,198,90,94,framenr_58_framevid_green_tree_frog_example1,29.97002997002997
58,59,196,112,73,framenr_59_framevid_green_tree_frog_example1,29.97002997002997
59,60,102,26,66,framenr_60_framevid_green_tree_frog_example1,29.97002997002997
60,61,408,150,84,framenr_61_framevid_green_tree_frog_example1,29.97002997002997
61,62,100,24,68,framenr_62_framevid_green_tree_frog_example1,29.97002997002997
62,63,100,26,65,framenr_63_framevid_green_tree_frog_example1,29.97002997002997
63,64,204,88,96,framenr_64_framevid_green_tree_frog_example1,29.97002997002997
