,frame,x,y,r,namefr,sample_rate
55,56,698,596,87,framenr_56_framevid_example8,50.0
56,57,700,590,84,framenr_57_framevid_example8,50.0
57,58,702,580,85,framenr_58_framevid_example8,50.0
58,59,704,580,88,framenr_59_framevid_example8,50.0
59,60,696,572,78,framenr_60_framevid_example8,50.0
60,61,706,572,88,framenr_61_framevid_example8,50.0
61,62,708,570,90,framenr_62_framevid_example8,50.0
62,63,710,566,91,framenr_63_framevid_example8,50.0
63,64,708,570,89,framenr_64_framevid_example8,50.0
64,65,700,564,80,framenr_65_framevid_example8,50.0
65,66,712,560,90,framenr_66_framevid_example8,50.0
66,67,712,560,90,framenr_67_framevid_example8,50.0
67,68,712,560,89,framenr_68_framevid_example8,50.0
68,69,718,558,92,framenr_69_framevid_example8,50.0
69,70,706,556,80,framenr_70_framevid_example8,50.0
70,71,744,552,115,framenr_71_framevid_example8,50.0
71,72,718,560,88,framenr_72_framevid_example8,50.0
72,73,728,554,94,framenr_73_framevid_example8,50.0
73,74,748,546,174,framenr_74_framevid_example8,50.0
74,75,718,556,80,framenr_75_framevid_example8,50.0
75,76,720,556,81,framenr_76_framevid_example8,50.0
76,77,692,540,202,framenr_77_framevid_example8,50.0
77,78,730,558,89,framenr_78_framevid_example8,50.0
78,79,692,544,208,framenr_79_framevid_example8,50.0
79,80,742,558,97,framenr_80_framevid_example8,50.0
80,81,744,558,96,framenr_81_framevid_example8,50.0
81,82,740,558,90,framenr_82_framevid_example8,50.0
82,83,742,554,91,framenr_83_framevid_example8,50.0
83,84,738,550,86,framenr_84_framevid_example8,50.0
84,85,1268,412,180,framenr_85_framevid_example8,50.0
85,86,786,512,164,framenr_86_framevid_example8,50.0
86,87,1364,370,181,framenr_87_framevid_example8,50.0
87,88,778,488,85,framenr_88_framevid_example8,50.0
88,89,958,786,140,framenr_89_framevid_example8,50.0
89,90,754,546,90,framenr_90_framevid_example8,50.0
90,91,772,478,68,framenr_91_framevid_example8,50.0
91,92,828,444,114,framenr_92_framevid_example8,50.0
92,93,734,542,70,framenr_93_framevid_example8,50.0
93,94,782,488,81,framenr_94_framevid_example8,50.0
94,95,750,544,84,framenr_95_framevid_example8,50.0
95,96,812,512,190,framenr_96_framevid_example8,50.0
96,97,750,522,209,framenr_97_framevid_example8,50.0
97,98,786,496,170,framenr_98_framevid_example8,50.0
98,99,796,498,131,framenr_99_framevid_example8,50.0
99,100,826,500,175,framenr_100_framevid_example8,50.0
100,101,836,494,167,framenr_101_framevid_example8,50.0
101,102,820,548,222,framenr_102_framevid_example8,50.0
102,103,1242,472,208,framenr_103_framevid_example8,50.0
103,104,1244,474,212,framenr_104_framevid_example8,50.0
104,105,796,578,127,framenr_105_framevid_example8,50.0
105,106,848,524,197,framenr_106_framevid_example8,50.0
106,107,840,562,235,framenr_107_framevid_example8,50.0
107,108,886,474,102,framenr_108_framevid_example8,50.0
108,109,898,472,96,framenr_109_framevid_example8,50.0
109,110,1264,402,163,framenr_110_framevid_example8,50.0
110,111,1208,772,142,framenr_111_framevid_example8,50.0
111,112,1218,436,165,framenr_112_framevid_example8,50.0
112,113,1216,484,222,framenr_113_framevid_example8,50.0
