scorer,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000,DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000
bodyparts,UpperLip,UpperLip,UpperLip,LowerLip,LowerLip,LowerLip,Nose,Nose,Nose,EyeBridge,EyeBridge,EyeBridge,Start_outline_outer_left,Start_outline_outer_left,Start_outline_outer_left,Start_outline_outer_right,Start_outline_outer_right,Start_outline_outer_right,LowestPoint_outline,LowestPoint_outline,LowestPoint_outline,MidLowleft_outline,MidLowleft_outline,MidLowleft_outline,MidLowright_outline,MidLowright_outline,MidLowright_outline
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,8.453909873962402,6.782343864440918,0.39843690395355225,8.435914039611816,7.412817478179932,0.3413856327533722,8.396035194396973,8.921789169311523,0.7575501799583435,7.188243389129639,8.37221622467041,0.7100337147712708,621.9973754882812,454.59490966796875,0.9992976188659668,1029.9715576171875,680.7637939453125,0.999476969242096,726.6551513671875,711.3673706054688,0.8550288081169128,638.007080078125,592.789306640625,0.996731162071228,912.1190185546875,739.2655029296875,0.9566696882247925
1,8.407240867614746,7.237194538116455,0.7808688879013062,10.414660453796387,8.871599197387695,0.5991168022155762,9.391597747802734,8.829631805419922,0.9139049053192139,9.485062599182129,9.108781814575195,0.8386454582214355,613.7015991210938,439.7416687011719,0.9996933937072754,1032.6678466796875,685.0836181640625,0.9980294108390808,675.3386840820312,683.8981323242188,0.9792078137397766,617.8172607421875,574.00146484375,0.5200048685073853,969.56982421875,726.556640625,0.9862411022186279
2,8.121071815490723,8.116415023803711,0.5338634252548218,10.726302146911621,9.557389259338379,0.4269427955150604,10.200613021850586,9.146617889404297,0.8033948540687561,9.66977310180664,9.024697303771973,0.7049476504325867,603.7151489257812,438.3450622558594,0.9995470643043518,1036.3807373046875,685.2698364257812,0.9991461038589478,706.5418090820312,732.3075561523438,0.8815472722053528,594.036376953125,532.0289306640625,0.8925001621246338,975.4705200195312,730.14208984375,0.8445820212364197
3,588.393310546875,321.6370849609375,0.9624879360198975,582.8990478515625,342.99700927734375,0.9541454315185547,9.116971969604492,10.12721061706543,0.8843286633491516,11.541587829589844,10.070403099060059,0.718218207359314,597.9821166992188,463.9549255371094,0.9993199110031128,1041.2823486328125,694.0914916992188,0.9999474287033081,717.225830078125,743.6137084960938,0.9447020292282104,606.7864379882812,589.3086547851562,0.9791309237480164,960.9302368164062,749.0474243164062,0.9990479350090027
4,582.38525390625,298.1357727050781,0.9368206858634949,10.716196060180664,10.30643367767334,0.5017644166946411,624.4436645507812,259.2992248535156,0.8593475818634033,10.207358360290527,9.811302185058594,0.7052695155143738,621.4547729492188,487.4617004394531,0.9988239407539368,1046.9691162109375,699.4358520507812,0.9997109770774841,806.708251953125,757.2025756835938,0.9656050801277161,674.4904174804688,670.1881713867188,0.21774670481681824,955.2900390625,749.988037109375,0.9991600513458252
5,577.535400390625,264.6841735839844,0.9416710138320923,12.95231819152832,10.521209716796875,0.7662439346313477,9.494565963745117,9.847561836242676,0.9037137627601624,12.046483993530273,9.601109504699707,0.7620717287063599,8.527277946472168,10.372580528259277,0.1105988547205925,1050.231201171875,686.6135864257812,0.9997989535331726,792.3014526367188,726.6072387695312,0.9454697966575623,702.0272827148438,660.2889404296875,0.9192321300506592,978.8893432617188,728.9242553710938,0.9992863535881042
6,593.8472900390625,211.0260772705078,0.8238527774810791,583.5243530273438,294.7351379394531,0.9964932799339294,8.847990989685059,9.810697555541992,0.5842299461364746,8.970968246459961,9.622736930847168,0.4805285930633545,664.6949462890625,414.38763427734375,0.5683141350746155,1050.3709716796875,665.133056640625,0.9968587160110474,710.7088623046875,629.8012084960938,0.8491267561912537,711.0363159179688,626.4999389648438,0.7549616694450378,961.4197387695312,698.919677734375,0.9943444728851318
