"Begin Time - msec","End Time - msec","inflation_cycle","scene","individual"
271920,272390,"1","1","roger"
287080,287620,"2","1","roger"
383790,384340,"3","2","roger"
400150,400600,"4","2","roger"
867280,867850,"5","3","roger"
911870,912460,"6","4","pelongi"
1313525,1314065,"7","5","fajar"
1316190,1316930,"8","5","fajar"

