,frame,x,y,r,name,sample_rate
0,1,1158,574,245,framenr_1_framevid__Opp_August_29_Session_1_zoom_syncedboom_26_7_5_Fajar,50.0
1,2,1162,592,237,framenr_2_framevid__Opp_August_29_Session_1_zoom_syncedboom_26_7_5_Fajar,50.0
2,3,1152,594,247,framenr_3_framevid__Opp_August_29_Session_1_zoom_syncedboom_26_7_5_Fajar,50.0
3,4,1142,608,247,framenr_4_framevid__Opp_August_29_Session_1_zoom_syncedboom_26_7_5_Fajar,50.0
4,5,1138,618,249,framenr_5_framevid__Opp_August_29_Session_1_zoom_syncedboom_26_7_5_Fajar,50.0
5,6,1142,636,237,framenr_6_framevid__Opp_August_29_Session_1_zoom_syncedboom_26_7_5_Fajar,50.0
6,7,1128,638,249,framenr_7_framevid__Opp_August_29_Session_1_zoom_syncedboom_26_7_5_Fajar,50.0
7,8,1152,682,204,framenr_8_framevid__Opp_August_29_Session_1_zoom_syncedboom_26_7_5_Fajar,50.0
8,9,1124,664,240,framenr_9_framevid__Opp_August_29_Session_1_zoom_syncedboom_26_7_5_Fajar,50.0
9,10,1120,674,237,framenr_10_framevid__Opp_August_29_Session_1_zoom_syncedboom_26_7_5_Fajar,50.0
10,11,1120,684,234,framenr_11_framevid__Opp_August_29_Session_1_zoom_syncedboom_26_7_5_Fajar,50.0
11,12,1118,688,235,framenr_12_framevid__Opp_August_29_Session_1_zoom_syncedboom_26_7_5_Fajar,50.0
12,13,1114,688,240,framenr_13_framevid__Opp_August_29_Session_1_zoom_syncedboom_26_7_5_Fajar,50.0
13,14,1118,690,237,framenr_14_framevid__Opp_August_29_Session_1_zoom_syncedboom_26_7_5_Fajar,50.0
14,15,1120,692,236,framenr_15_framevid__Opp_August_29_Session_1_zoom_syncedboom_26_7_5_Fajar,50.0
15,16,1116,680,249,framenr_16_framevid__Opp_August_29_Session_1_zoom_syncedboom_26_7_5_Fajar,50.0
16,17,1126,686,242,framenr_17_framevid__Opp_August_29_Session_1_zoom_syncedboom_26_7_5_Fajar,50.0
17,18,1124,676,249,framenr_18_framevid__Opp_August_29_Session_1_zoom_syncedboom_26_7_5_Fajar,50.0
18,19,1126,676,249,framenr_19_framevid__Opp_August_29_Session_1_zoom_syncedboom_26_7_5_Fajar,50.0
19,20,1128,672,249,framenr_20_framevid__Opp_August_29_Session_1_zoom_syncedboom_26_7_5_Fajar,50.0
20,21,1134,674,243,framenr_21_framevid__Opp_August_29_Session_1_zoom_syncedboom_26_7_5_Fajar,50.0
21,22,1132,666,247,framenr_22_framevid__Opp_August_29_Session_1_zoom_syncedboom_26_7_5_Fajar,50.0
22,23,1132,662,248,framenr_23_framevid__Opp_August_29_Session_1_zoom_syncedboom_26_7_5_Fajar,50.0
23,24,1134,662,247,framenr_24_framevid__Opp_August_29_Session_1_zoom_syncedboom_26_7_5_Fajar,50.0
24,25,1132,660,249,framenr_25_framevid__Opp_August_29_Session_1_zoom_syncedboom_26_7_5_Fajar,50.0
25,26,1132,664,249,framenr_26_framevid__Opp_August_29_Session_1_zoom_syncedboom_26_7_5_Fajar,50.0
26,27,1136,666,247,framenr_27_framevid__Opp_August_29_Session_1_zoom_syncedboom_26_7_5_Fajar,50.0
