,frame,x,y,r,name,sample_rate
0,1,1584,644,165,framenr_1_framevid__Opp_June_16_Session_1_zoom_syncedboom_14_10_fajar,25.0
1,2,1590,654,154,framenr_2_framevid__Opp_June_16_Session_1_zoom_syncedboom_14_10_fajar,25.0
2,3,1576,644,171,framenr_3_framevid__Opp_June_16_Session_1_zoom_syncedboom_14_10_fajar,25.0
3,4,1570,638,176,framenr_4_framevid__Opp_June_16_Session_1_zoom_syncedboom_14_10_fajar,25.0
4,5,1572,640,175,framenr_5_framevid__Opp_June_16_Session_1_zoom_syncedboom_14_10_fajar,25.0
5,6,1580,648,165,framenr_6_framevid__Opp_June_16_Session_1_zoom_syncedboom_14_10_fajar,25.0
6,7,1582,646,166,framenr_7_framevid__Opp_June_16_Session_1_zoom_syncedboom_14_10_fajar,25.0
7,8,734,448,188,framenr_8_framevid__Opp_June_16_Session_1_zoom_syncedboom_14_10_fajar,25.0
8,9,696,474,176,framenr_9_framevid__Opp_June_16_Session_1_zoom_syncedboom_14_10_fajar,25.0
9,10,744,478,197,framenr_10_framevid__Opp_June_16_Session_1_zoom_syncedboom_14_10_fajar,25.0
10,11,1576,632,181,framenr_11_framevid__Opp_June_16_Session_1_zoom_syncedboom_14_10_fajar,25.0
11,12,1592,648,158,framenr_12_framevid__Opp_June_16_Session_1_zoom_syncedboom_14_10_fajar,25.0
12,13,664,518,143,framenr_13_framevid__Opp_June_16_Session_1_zoom_syncedboom_14_10_fajar,25.0
13,14,738,582,100,framenr_14_framevid__Opp_June_16_Session_1_zoom_syncedboom_14_10_fajar,25.0
14,15,718,508,168,framenr_15_framevid__Opp_June_16_Session_1_zoom_syncedboom_14_10_fajar,25.0
15,16,736,564,105,framenr_16_framevid__Opp_June_16_Session_1_zoom_syncedboom_14_10_fajar,25.0
16,17,1688,590,92,framenr_17_framevid__Opp_June_16_Session_1_zoom_syncedboom_14_10_fajar,25.0
17,18,1590,634,173,framenr_18_framevid__Opp_June_16_Session_1_zoom_syncedboom_14_10_fajar,25.0
18,19,746,490,162,framenr_19_framevid__Opp_June_16_Session_1_zoom_syncedboom_14_10_fajar,25.0
19,20,1608,638,158,framenr_20_framevid__Opp_June_16_Session_1_zoom_syncedboom_14_10_fajar,25.0
20,21,762,458,183,framenr_21_framevid__Opp_June_16_Session_1_zoom_syncedboom_14_10_fajar,25.0
21,22,770,472,170,framenr_22_framevid__Opp_June_16_Session_1_zoom_syncedboom_14_10_fajar,25.0
22,23,1624,348,215,framenr_23_framevid__Opp_June_16_Session_1_zoom_syncedboom_14_10_fajar,25.0
23,24,768,542,123,framenr_24_framevid__Opp_June_16_Session_1_zoom_syncedboom_14_10_fajar,25.0
24,25,794,476,182,framenr_25_framevid__Opp_June_16_Session_1_zoom_syncedboom_14_10_fajar,25.0
25,26,796,492,144,framenr_26_framevid__Opp_June_16_Session_1_zoom_syncedboom_14_10_fajar,25.0
26,27,1630,340,211,framenr_27_framevid__Opp_June_16_Session_1_zoom_syncedboom_14_10_fajar,25.0
