,frame,x,y,r,name,sample_rate
0,1,516,596,202,framenr_1_framevid__Opp_August_20_Session_1_zoom_syncedboom_1_1_Pelangi,50.0
1,2,518,590,202,framenr_2_framevid__Opp_August_20_Session_1_zoom_syncedboom_1_1_Pelangi,50.0
2,3,548,678,240,framenr_3_framevid__Opp_August_20_Session_1_zoom_syncedboom_1_1_Pelangi,50.0
3,4,514,634,204,framenr_4_framevid__Opp_August_20_Session_1_zoom_syncedboom_1_1_Pelangi,50.0
4,5,512,572,249,framenr_5_framevid__Opp_August_20_Session_1_zoom_syncedboom_1_1_Pelangi,50.0
5,6,478,558,240,framenr_6_framevid__Opp_August_20_Session_1_zoom_syncedboom_1_1_Pelangi,50.0
6,7,468,618,160,framenr_7_framevid__Opp_August_20_Session_1_zoom_syncedboom_1_1_Pelangi,50.0
7,8,608,930,207,framenr_8_framevid__Opp_August_20_Session_1_zoom_syncedboom_1_1_Pelangi,50.0
8,9,476,564,247,framenr_9_framevid__Opp_August_20_Session_1_zoom_syncedboom_1_1_Pelangi,50.0
9,10,482,724,247,framenr_10_framevid__Opp_August_20_Session_1_zoom_syncedboom_1_1_Pelangi,50.0
10,11,488,624,222,framenr_11_framevid__Opp_August_20_Session_1_zoom_syncedboom_1_1_Pelangi,50.0
11,12,512,620,247,framenr_12_framevid__Opp_August_20_Session_1_zoom_syncedboom_1_1_Pelangi,50.0
12,13,514,262,218,framenr_13_framevid__Opp_August_20_Session_1_zoom_syncedboom_1_1_Pelangi,50.0
13,14,478,638,230,framenr_14_framevid__Opp_August_20_Session_1_zoom_syncedboom_1_1_Pelangi,50.0
14,15,342,398,237,framenr_15_framevid__Opp_August_20_Session_1_zoom_syncedboom_1_1_Pelangi,50.0
15,16,470,568,245,framenr_16_framevid__Opp_August_20_Session_1_zoom_syncedboom_1_1_Pelangi,50.0
16,17,468,564,243,framenr_17_framevid__Opp_August_20_Session_1_zoom_syncedboom_1_1_Pelangi,50.0
17,18,1440,512,156,framenr_18_framevid__Opp_August_20_Session_1_zoom_syncedboom_1_1_Pelangi,50.0
18,19,470,554,236,framenr_19_framevid__Opp_August_20_Session_1_zoom_syncedboom_1_1_Pelangi,50.0
19,20,302,242,244,framenr_20_framevid__Opp_August_20_Session_1_zoom_syncedboom_1_1_Pelangi,50.0
20,21,510,616,213,framenr_21_framevid__Opp_August_20_Session_1_zoom_syncedboom_1_1_Pelangi,50.0
21,22,474,560,245,framenr_22_framevid__Opp_August_20_Session_1_zoom_syncedboom_1_1_Pelangi,50.0
22,23,520,628,226,framenr_23_framevid__Opp_August_20_Session_1_zoom_syncedboom_1_1_Pelangi,50.0
23,24,464,664,241,framenr_24_framevid__Opp_August_20_Session_1_zoom_syncedboom_1_1_Pelangi,50.0
24,25,498,608,203,framenr_25_framevid__Opp_August_20_Session_1_zoom_syncedboom_1_1_Pelangi,50.0
25,26,498,628,205,framenr_26_framevid__Opp_August_20_Session_1_zoom_syncedboom_1_1_Pelangi,50.0
26,27,510,612,213,framenr_27_framevid__Opp_August_20_Session_1_zoom_syncedboom_1_1_Pelangi,50.0
