,frame,x,y,r,name,sample_rate
0,1,1692,786,200,framenr_1_framevid__Opp_August_14_Session_1_zoom_syncedboom_1_1_Fajar,50.0
1,2,1684,790,209,framenr_2_framevid__Opp_August_14_Session_1_zoom_syncedboom_1_1_Fajar,50.0
2,3,1140,588,176,framenr_3_framevid__Opp_August_14_Session_1_zoom_syncedboom_1_1_Fajar,50.0
3,4,1706,844,197,framenr_4_framevid__Opp_August_14_Session_1_zoom_syncedboom_1_1_Fajar,50.0
4,5,1124,604,182,framenr_5_framevid__Opp_August_14_Session_1_zoom_syncedboom_1_1_Fajar,50.0
5,6,1702,834,205,framenr_6_framevid__Opp_August_14_Session_1_zoom_syncedboom_1_1_Fajar,50.0
6,7,1808,912,75,framenr_7_framevid__Opp_August_14_Session_1_zoom_syncedboom_1_1_Fajar,50.0
7,8,1718,848,186,framenr_8_framevid__Opp_August_14_Session_1_zoom_syncedboom_1_1_Fajar,50.0
8,9,1720,848,182,framenr_9_framevid__Opp_August_14_Session_1_zoom_syncedboom_1_1_Fajar,50.0
9,10,1698,780,193,framenr_10_framevid__Opp_August_14_Session_1_zoom_syncedboom_1_1_Fajar,50.0
10,11,1634,166,180,framenr_11_framevid__Opp_August_14_Session_1_zoom_syncedboom_1_1_Fajar,50.0
11,12,1658,810,239,framenr_12_framevid__Opp_August_14_Session_1_zoom_syncedboom_1_1_Fajar,50.0
12,13,1706,828,200,framenr_13_framevid__Opp_August_14_Session_1_zoom_syncedboom_1_1_Fajar,50.0
13,14,1654,808,243,framenr_14_framevid__Opp_August_14_Session_1_zoom_syncedboom_1_1_Fajar,50.0
14,15,1702,848,195,framenr_15_framevid__Opp_August_14_Session_1_zoom_syncedboom_1_1_Fajar,50.0
15,16,1682,838,197,framenr_16_framevid__Opp_August_14_Session_1_zoom_syncedboom_1_1_Fajar,50.0
16,17,1694,838,189,framenr_17_framevid__Opp_August_14_Session_1_zoom_syncedboom_1_1_Fajar,50.0
17,18,1668,794,177,framenr_18_framevid__Opp_August_14_Session_1_zoom_syncedboom_1_1_Fajar,50.0
18,19,1676,798,215,framenr_19_framevid__Opp_August_14_Session_1_zoom_syncedboom_1_1_Fajar,50.0
