,frame,x,y,r,name,sample_rate
0,1,1322,390,104,framenr_1_framevid__Opp_June_16_Session_1_zoom_syncedboom_55_18_11_roger,25.0
1,2,1322,424,165,framenr_2_framevid__Opp_June_16_Session_1_zoom_syncedboom_55_18_11_roger,25.0
2,3,1298,810,225,framenr_3_framevid__Opp_June_16_Session_1_zoom_syncedboom_55_18_11_roger,25.0
3,4,876,528,180,framenr_4_framevid__Opp_June_16_Session_1_zoom_syncedboom_55_18_11_roger,25.0
4,5,866,516,227,framenr_5_framevid__Opp_June_16_Session_1_zoom_syncedboom_55_18_11_roger,25.0
5,6,866,512,216,framenr_6_framevid__Opp_June_16_Session_1_zoom_syncedboom_55_18_11_roger,25.0
6,7,852,522,228,framenr_7_framevid__Opp_June_16_Session_1_zoom_syncedboom_55_18_11_roger,25.0
7,8,860,516,222,framenr_8_framevid__Opp_June_16_Session_1_zoom_syncedboom_55_18_11_roger,25.0
8,9,1302,826,218,framenr_9_framevid__Opp_June_16_Session_1_zoom_syncedboom_55_18_11_roger,25.0
9,10,1572,456,218,framenr_10_framevid__Opp_June_16_Session_1_zoom_syncedboom_55_18_11_roger,25.0
10,11,856,516,238,framenr_11_framevid__Opp_June_16_Session_1_zoom_syncedboom_55_18_11_roger,25.0
11,12,858,514,246,framenr_12_framevid__Opp_June_16_Session_1_zoom_syncedboom_55_18_11_roger,25.0
12,13,1310,428,176,framenr_13_framevid__Opp_June_16_Session_1_zoom_syncedboom_55_18_11_roger,25.0
13,14,836,584,203,framenr_14_framevid__Opp_June_16_Session_1_zoom_syncedboom_55_18_11_roger,25.0
14,15,852,546,223,framenr_15_framevid__Opp_June_16_Session_1_zoom_syncedboom_55_18_11_roger,25.0
