,frame,x,y,r,name,sample_rate
0,1,334,346,113,framenr_1_framevid__Opp_June_13_Session_1_zoom_syncedboom_4_1_Baju,25.0
1,2,320,348,126,framenr_2_framevid__Opp_June_13_Session_1_zoom_syncedboom_4_1_Baju,25.0
2,3,1196,212,122,framenr_3_framevid__Opp_June_13_Session_1_zoom_syncedboom_4_1_Baju,25.0
3,4,1176,236,114,framenr_4_framevid__Opp_June_13_Session_1_zoom_syncedboom_4_1_Baju,25.0
4,5,338,342,106,framenr_5_framevid__Opp_June_13_Session_1_zoom_syncedboom_4_1_Baju,25.0
5,6,326,340,118,framenr_6_framevid__Opp_June_13_Session_1_zoom_syncedboom_4_1_Baju,25.0
6,7,328,336,113,framenr_7_framevid__Opp_June_13_Session_1_zoom_syncedboom_4_1_Baju,25.0
7,8,322,332,118,framenr_8_framevid__Opp_June_13_Session_1_zoom_syncedboom_4_1_Baju,25.0
8,9,1166,212,123,framenr_9_framevid__Opp_June_13_Session_1_zoom_syncedboom_4_1_Baju,25.0
9,10,1196,206,130,framenr_10_framevid__Opp_June_13_Session_1_zoom_syncedboom_4_1_Baju,25.0
10,11,1168,210,122,framenr_11_framevid__Opp_June_13_Session_1_zoom_syncedboom_4_1_Baju,25.0
11,12,1188,206,138,framenr_12_framevid__Opp_June_13_Session_1_zoom_syncedboom_4_1_Baju,25.0
12,13,1178,220,119,framenr_13_framevid__Opp_June_13_Session_1_zoom_syncedboom_4_1_Baju,25.0
13,14,1172,212,122,framenr_14_framevid__Opp_June_13_Session_1_zoom_syncedboom_4_1_Baju,25.0
14,15,1184,194,138,framenr_15_framevid__Opp_June_13_Session_1_zoom_syncedboom_4_1_Baju,25.0
15,16,1168,200,123,framenr_16_framevid__Opp_June_13_Session_1_zoom_syncedboom_4_1_Baju,25.0
16,17,1182,192,135,framenr_17_framevid__Opp_June_13_Session_1_zoom_syncedboom_4_1_Baju,25.0
17,18,1182,190,134,framenr_18_framevid__Opp_June_13_Session_1_zoom_syncedboom_4_1_Baju,25.0
