,frame,x,y,r,name,sample_rate
0,1,1064,774,226,framenr_1_framevid__Opp_June_16_Session_1_zoom_syncedboom_26_12_fajar,25.0
1,2,1038,920,208,framenr_2_framevid__Opp_June_16_Session_1_zoom_syncedboom_26_12_fajar,25.0
2,3,1022,282,210,framenr_3_framevid__Opp_June_16_Session_1_zoom_syncedboom_26_12_fajar,25.0
3,4,1012,328,162,framenr_4_framevid__Opp_June_16_Session_1_zoom_syncedboom_26_12_fajar,25.0
4,5,1046,444,153,framenr_5_framevid__Opp_June_16_Session_1_zoom_syncedboom_26_12_fajar,25.0
5,6,1038,320,183,framenr_6_framevid__Opp_June_16_Session_1_zoom_syncedboom_26_12_fajar,25.0
6,7,1036,256,152,framenr_7_framevid__Opp_June_16_Session_1_zoom_syncedboom_26_12_fajar,25.0
7,8,1012,456,130,framenr_8_framevid__Opp_June_16_Session_1_zoom_syncedboom_26_12_fajar,25.0
8,9,1012,248,237,framenr_9_framevid__Opp_June_16_Session_1_zoom_syncedboom_26_12_fajar,25.0
9,10,1060,198,162,framenr_10_framevid__Opp_June_16_Session_1_zoom_syncedboom_26_12_fajar,25.0
10,11,1050,434,161,framenr_11_framevid__Opp_June_16_Session_1_zoom_syncedboom_26_12_fajar,25.0
11,12,1048,268,215,framenr_12_framevid__Opp_June_16_Session_1_zoom_syncedboom_26_12_fajar,25.0
12,13,1058,432,160,framenr_13_framevid__Opp_June_16_Session_1_zoom_syncedboom_26_12_fajar,25.0
