,frame,x,y,r,name,sample_rate
0,1,406,738,249,framenr_1_framevid__Opp_June_16_Session_1_zoom_syncedboom_39_2_8_fajar,25.0
1,2,770,424,222,framenr_2_framevid__Opp_June_16_Session_1_zoom_syncedboom_39_2_8_fajar,25.0
2,3,1408,950,167,framenr_3_framevid__Opp_June_16_Session_1_zoom_syncedboom_39_2_8_fajar,25.0
3,4,460,174,202,framenr_4_framevid__Opp_June_16_Session_1_zoom_syncedboom_39_2_8_fajar,25.0
4,5,684,536,247,framenr_5_framevid__Opp_June_16_Session_1_zoom_syncedboom_39_2_8_fajar,25.0
5,6,458,762,195,framenr_6_framevid__Opp_June_16_Session_1_zoom_syncedboom_39_2_8_fajar,25.0
6,7,416,752,236,framenr_7_framevid__Opp_June_16_Session_1_zoom_syncedboom_39_2_8_fajar,25.0
7,8,424,758,227,framenr_8_framevid__Opp_June_16_Session_1_zoom_syncedboom_39_2_8_fajar,25.0
8,9,668,468,175,framenr_9_framevid__Opp_June_16_Session_1_zoom_syncedboom_39_2_8_fajar,25.0
9,10,428,776,222,framenr_10_framevid__Opp_June_16_Session_1_zoom_syncedboom_39_2_8_fajar,25.0
10,11,298,340,125,framenr_11_framevid__Opp_June_16_Session_1_zoom_syncedboom_39_2_8_fajar,25.0
11,12,340,258,151,framenr_12_framevid__Opp_June_16_Session_1_zoom_syncedboom_39_2_8_fajar,25.0
12,13,764,532,227,framenr_13_framevid__Opp_June_16_Session_1_zoom_syncedboom_39_2_8_fajar,25.0
13,14,426,786,224,framenr_14_framevid__Opp_June_16_Session_1_zoom_syncedboom_39_2_8_fajar,25.0
14,15,306,360,107,framenr_15_framevid__Opp_June_16_Session_1_zoom_syncedboom_39_2_8_fajar,25.0
