"radius,""x"",""y"",""frame_number"",""videofile"",""normalization_value"",""norm_radius"""
"395.272127263947,""1276.61009439365"",""715.21158290236"",""22"",""_Opp_August_14_Session_1_zoom_syncedboom_5_3_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",26.2783458148926,15.0417431161111"
"225.999895662595,""977.098462156885"",""567.819134164482"",""23"",""_Opp_August_14_Session_1_zoom_syncedboom_5_3_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",26.2783458148926,8.60023295433289"
"377.10768310527,""1254.98145061738"",""702.294530091158"",""24"",""_Opp_August_14_Session_1_zoom_syncedboom_5_3_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",26.2783458148926,14.3505107118102"
"356.998923824377,""1233.08990257864"",""689.56200700662"",""25"",""_Opp_August_14_Session_1_zoom_syncedboom_5_3_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",26.2783458148926,13.5852890565911"
"289.050224026855,""1169.90421406499"",""640.40562499559"",""26"",""_Opp_August_14_Session_1_zoom_syncedboom_5_3_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",26.2783458148926,10.9995593353918"
"165.270605074053,""997.953741800224"",""502.708717002439"",""27"",""_Opp_August_14_Session_1_zoom_syncedboom_5_3_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",26.2783458148926,6.2892316829315"
"128.134561759733,""877.109427756682"",""684.123054681277"",""1"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,1.55061231273091"
"116.478827535168,""871.705876722141"",""695.293941843557"",""2"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,1.40956118059047"
"121.288233155053,""871.135345484054"",""689.953976778676"",""3"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,1.46776189918421"
"NaN,NaN,NaN,""4"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,NaN"
"120.731360567164,""867.967635822179"",""690.845021373262"",""5"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,1.46102294070537"
"114.905022944982,""870.227644976534"",""696.561250610527"",""6"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,1.39051588366308"
"118.460608083737,""868.770788687354"",""693.098195087193"",""7"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,1.4335435728314"
"111.074965501569,""864.904160049349"",""700.705932217597"",""8"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,1.34416668522153"
"NaN,NaN,NaN,""9"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,NaN"
"119.227681950558,""852.981509115558"",""694.767321656708"",""10"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,1.44282626882171"
"NaN,NaN,NaN,""11"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,NaN"
"NaN,NaN,NaN,""12"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,NaN"
"112.68108815002,""847.766519463053"",""708.940703638541"",""13"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,1.36360307709146"
"NaN,NaN,NaN,""14"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,NaN"
