,radius,x,y,frame,videofile,normalization_value,norm_radius
0,119.71462803024531,870.464115533684,691.803197581997,0,./DLC/output\example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv,46.95418034899685,2.5496053203450915
1,120.00192468506114,870.4609338445854,691.8288242899355,1,./DLC/output\example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv,46.95418034899685,2.5557239801253377
2,122.68107303212514,872.2559304031473,689.7507896200505,2,./DLC/output\example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv,46.95418034899685,2.6127827622646627
3,111.96648171332961,869.731130530935,702.4421086298144,3,./DLC/output\example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv,46.95418034899685,2.384590272497893
4,114.99576655351399,871.5698427943146,696.1918202438145,4,./DLC/output\example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv,46.95418034899685,2.4491060369659037
5,121.6279297687684,873.1694402504993,689.7277959962543,5,./DLC/output\example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv,46.95418034899685,2.5903535929014874
6,114.93587303954087,865.9743514854204,696.8848443186425,6,./DLC/output\example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv,46.95418034899685,2.447830463342257
7,,,,7,./DLC/output\example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv,46.95418034899685,
8,,,,8,./DLC/output\example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv,46.95418034899685,
9,111.89178660305545,853.5244547729618,704.9635764585306,9,./DLC/output\example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv,46.95418034899685,2.382999463975223
10,,,,10,./DLC/output\example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv,46.95418034899685,
11,111.65757817510507,846.3191031576739,709.8807535938545,11,./DLC/output\example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv,46.95418034899685,2.3780114431811303
12,113.12282753431106,850.9115659016618,711.3962125407845,12,./DLC/output\example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv,46.95418034899685,2.4092173837026176
13,120.02362950314848,849.5796852525506,703.8975894885208,13,./DLC/output\example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv,46.95418034899685,2.5561862354117895
14,127.15864830785706,844.8591648315598,695.9727323491859,14,./DLC/output\example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv,46.95418034899685,2.708143286981555
15,,,,15,./DLC/output\example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv,46.95418034899685,
16,143.03202596665756,853.0565270169767,681.8410825464257,16,./DLC/output\example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv,46.95418034899685,3.0462042975416
17,139.3781013431279,846.8429870001584,684.874589799128,17,./DLC/output\example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv,46.95418034899685,2.9683853558335116
18,,,,18,./DLC/output\example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv,46.95418034899685,
19,122.77468614740287,834.9016192232443,702.9958613874634,19,./DLC/output\example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv,46.95418034899685,2.6147764743171775
