,x,y,r,inputfile
0,826.3081028117406,525.9556858081962,151.9521625932915,framenr_1_framevid_example4
1,820.7079921039394,618.2332455989346,293.1673524419169,framenr_2_framevid_example4
2,586.0749396544304,694.8561090331702,260.3043620855204,framenr_3_framevid_example4
3,665.2692492010385,656.7503884128272,169.05251422929928,framenr_4_framevid_example4
4,1075.5150040351884,598.0066549146494,208.64711179148227,framenr_5_framevid_example4
5,1205.9139937113268,676.7912832956598,301.6450422449236,framenr_6_framevid_example4
6,1051.1521987665997,753.677819457748,289.85447000223564,framenr_7_framevid_example4
7,893.9774968669017,683.0777593412497,239.2941546027754,framenr_8_framevid_example4
8,754.9642985840599,615.862165912087,243.66621412789988,framenr_9_framevid_example4
9,726.6167951934644,633.0383371324482,242.9214705472283,framenr_10_framevid_example4
10,801.9010706671022,597.7170040356988,217.9950736682595,framenr_11_framevid_example4
11,870.4287015429193,528.1623142889355,223.66892332725922,framenr_12_framevid_example4
12,970.2483461985884,590.1347689293187,250.1380131304376,framenr_13_framevid_example4
13,945.8098429907711,724.9622317821226,276.0700040438543,framenr_14_framevid_example4
14,802.6566735126221,735.1072721794926,294.44221179407947,framenr_15_framevid_example4
15,929.683293690687,651.1947397525196,271.9210625820368,framenr_16_framevid_example4
16,1075.2694898959253,639.824040394702,242.19458899936868,framenr_17_framevid_example4
17,837.1867785817549,680.1994222739645,266.63015613179834,framenr_18_framevid_example4
18,768.8970921845394,660.2223677377856,287.5254975507336,framenr_19_framevid_example4
19,1105.83025839588,617.7439906660584,257.6036022408701,framenr_20_framevid_example4
20,1256.4872217983584,612.6357792893372,241.778814106532,framenr_21_framevid_example4
21,1203.763066535349,611.1412267111104,245.92418420540804,framenr_22_framevid_example4
22,1171.5562673086501,644.9576359029194,226.87857230786568,framenr_23_framevid_example4
23,932.047001020467,733.753849939374,226.74494415213604,framenr_24_framevid_example4
24,697.8504360895531,742.0211309135589,254.9296622742744,framenr_25_framevid_example4
25,824.9620693753448,667.5471064464459,240.1325555139427,framenr_26_framevid_example4
26,959.0172492595235,675.5804620973815,194.82698461103772,framenr_27_framevid_example4
27,932.7693648542765,701.4763455477784,200.33220923258995,framenr_28_framevid_example4
28,1032.0276530303859,622.8993042964994,261.6871569121825,framenr_29_framevid_example4
29,1088.6903284142863,607.656259737515,306.35395354066685,framenr_30_framevid_example4
30,926.860849393758,724.5495565552206,277.91232285363054,framenr_31_framevid_example4
31,883.7671345399975,750.4466047934102,213.25783345059327,framenr_32_framevid_example4
32,1008.5595579925223,674.9764643672872,191.03508530857886,framenr_33_framevid_example4
33,1021.2324667002388,701.1412263671823,202.14649279433254,framenr_34_framevid_example4
34,976.6880048251503,741.8918720277663,204.3674369249785,framenr_35_framevid_example4
35,995.8173690694296,622.0575603803486,224.35982437175116,framenr_36_framevid_example4
36,994.6985616888833,524.1723359620913,255.28074352741544,framenr_37_framevid_example4
37,987.3457107952248,616.057301720964,234.44380043659896,framenr_38_framevid_example4
38,1021.4248044215508,706.285570761765,190.43200165877016,framenr_39_framevid_example4
39,1024.8269886414976,675.1156227448973,195.8223876520455,framenr_40_framevid_example4
40,1005.2196597695024,648.6737533114346,214.9787842505847,framenr_41_framevid_example4
41,1030.629385405815,659.5385407395565,187.8184802879009,framenr_42_framevid_example4
42,1054.591264210034,660.0008842268052,161.22234084226758,framenr_43_framevid_example4
43,1048.382621548705,679.3230504634615,176.81363551516506,framenr_44_framevid_example4
44,1067.9516060025137,708.8933746939874,173.67869440244007,framenr_45_framevid_example4
45,1070.6926153030865,703.159341169565,151.82589968506275,framenr_46_framevid_example4
46,995.5054149267814,683.095956910117,201.53352957198467,framenr_47_framevid_example4
47,928.7677534255577,674.8686790947858,283.4611058228181,framenr_48_framevid_example4
48,906.0839149313663,667.1970887359992,301.34471476551954,framenr_49_framevid_example4
49,886.9821158874847,662.4010540728996,300.8613056750205,framenr_50_framevid_example4
50,944.6653637104783,681.9075781326829,299.52958035497505,framenr_51_framevid_example4
51,1022.7260848772703,727.7519404959397,238.67105967444297,framenr_52_framevid_example4
52,925.6705771527343,766.9520887204487,199.38385342902743,framenr_53_framevid_example4
53,821.1415027355281,758.0828983107893,245.64404404240227,framenr_54_framevid_example4
54,952.1235189556338,696.2452361586437,257.22615508299447,framenr_55_framevid_example4
55,1044.45665161341,656.3171988428477,218.83012698791367,framenr_56_framevid_example4
56,886.459014218342,720.517559934338,246.12554744519502,framenr_57_framevid_example4
57,830.2407834485987,777.1801194540999,286.31605313178386,framenr_58_framevid_example4
58,1035.800005322167,657.1837516026493,245.0007370669411,framenr_59_framevid_example4
59,1128.3436807656196,529.6992484767535,211.99294018321902,framenr_60_framevid_example4
60,957.1473056532241,617.2805974264696,259.64789760650854,framenr_61_framevid_example4
61,811.5934618569598,702.8376906609475,306.36798921009347,framenr_62_framevid_example4
62,844.4830797254639,611.0000788004427,290.9061903400364,framenr_63_framevid_example4
63,932.8563637630788,566.5065415043694,251.35760858329397,framenr_64_framevid_example4
64,956.8671141375098,598.0152174885665,240.72383526249243,framenr_65_framevid_example4
65,901.080456500505,538.3850453883738,266.1000567982862,framenr_66_framevid_example4
66,842.3288150742717,534.1062557893802,283.48105211285656,framenr_67_framevid_example4
67,858.048417434533,646.1896523382154,264.15745384157907,framenr_68_framevid_example4
68,911.5082632597703,629.2994227857855,244.69930986944598,framenr_69_framevid_example4
69,919.3255324876758,556.8314125645883,258.79282776491084,framenr_70_framevid_example4
70,867.5463479701215,659.5129640595181,289.1803845863684,framenr_71_framevid_example4
71,829.5840667869875,717.809238214008,300.8689389071049,framenr_72_framevid_example4
72,879.9729821245319,558.7622393415058,272.0811664289978,framenr_73_framevid_example4
73,952.6695819685843,473.0673921708837,235.09307924154305,framenr_74_framevid_example4
74,937.5760421333209,555.1546749947951,250.8538561875788,framenr_75_framevid_example4
75,888.0457603694215,567.8322158307793,298.6838028078719,framenr_76_framevid_example4
76,878.255304989604,545.8737392979726,303.4095462199278,framenr_77_framevid_example4
77,860.6754581416158,630.6053148969139,275.60478192759933,framenr_78_framevid_example4
78,840.7157022437499,685.0234345297439,285.7192838593077,framenr_79_framevid_example4
79,870.25655133748,659.5422185254636,308.82578608086277,framenr_80_framevid_example4
80,898.1479459183456,688.0045250805986,263.11446515750157,framenr_81_framevid_example4
81,892.7170702261991,712.9729347831903,200.65568212142176,framenr_82_framevid_example4
82,910.0165935417053,649.1572499377799,221.90695470686583,framenr_83_framevid_example4
83,935.9474363091144,616.6944637534209,267.97295866049916,framenr_84_framevid_example4
84,916.2165666368445,650.0712845970038,265.8527350975545,framenr_85_framevid_example4
85,905.6969982879198,634.502123769835,257.00561169724233,framenr_86_framevid_example4
86,935.2305040835643,587.6599008469959,245.59813745248394,framenr_87_framevid_example4
87,893.8563460538747,621.0813064760073,233.72231697442623,framenr_88_framevid_example4
88,799.1438647153108,687.9099215538959,269.49492583882864,framenr_89_framevid_example4
89,842.8557627355177,647.3874811063749,280.844189201252,framenr_90_framevid_example4
90,977.6053079242906,557.8405296323092,211.4811425579843,framenr_91_framevid_example4
91,983.3483102163686,590.9027221591506,185.6848152747979,framenr_92_framevid_example4
92,926.5709322487985,661.8174180933844,225.41387264796404,framenr_93_framevid_example4
93,975.1525923586769,598.7397126690066,208.37091002998804,framenr_94_framevid_example4
94,1029.815850317827,533.6352942745469,170.23000939315773,framenr_95_framevid_example4
95,983.1699530075444,606.1786851318707,200.83166350417724,framenr_96_framevid_example4
96,940.3346399618084,654.5002038469953,232.89578065802434,framenr_97_framevid_example4
97,976.1617230666835,586.7549771368076,213.3836610039166,framenr_98_framevid_example4
98,1025.58010124953,533.5380886767095,188.4925105468063,framenr_99_framevid_example4
99,1025.1786050545036,536.0883931584999,177.68175214526784,framenr_100_framevid_example4
100,994.5905913155461,542.4145392623232,187.09328960127706,framenr_101_framevid_example4
101,1005.4169752548066,552.1014120123407,222.6074440347229,framenr_102_framevid_example4
102,1033.2295228306643,575.8478173779835,246.7290852447916,framenr_103_framevid_example4
103,970.0189322656324,614.895474744124,252.19133610095997,framenr_104_framevid_example4
104,902.3206652186342,618.9806264639552,254.78761402814766,framenr_105_framevid_example4
105,985.51668819071,560.9496257721323,233.2875834473213,framenr_106_framevid_example4
106,1063.610317947409,582.0292375145875,220.40720249036198,framenr_107_framevid_example4
107,976.7565277972267,707.4355764385043,258.2754018424965,framenr_108_framevid_example4
108,924.8715329818796,704.5354158767399,270.1325476333287,framenr_109_framevid_example4
109,1019.5793008619523,560.8640680574732,219.9491299809464,framenr_110_framevid_example4
110,1064.6732347237353,514.5900138833072,198.20919911877803,framenr_111_framevid_example4
111,1032.392499183736,560.3783478929998,214.87312738753346,framenr_112_framevid_example4
112,1065.5866902628618,548.0507371502773,203.47851546055605,framenr_113_framevid_example4
113,1080.6321999023912,526.5314204442948,195.8163218038647,framenr_114_framevid_example4
114,980.2293821846245,572.1732386016162,233.5798015012518,framenr_115_framevid_example4
115,905.5266197534266,617.3487881065977,260.73152616051317,framenr_116_framevid_example4
116,914.062957830008,613.5152256879251,245.70372195452467,framenr_117_framevid_example4
117,918.3033323016109,606.4144696678653,229.88946445110147,framenr_118_framevid_example4
118,944.8345145196901,631.3411144756344,230.10048624291608,framenr_119_framevid_example4
119,1000.4803623626791,645.9975653190352,218.99495434459502,framenr_120_framevid_example4
120,1009.9557494640891,582.537290798174,182.25996731330787,framenr_121_framevid_example4
121,1034.4198242250527,491.096152213895,154.74323108162315,framenr_122_framevid_example4
122,1074.1086449865616,522.3541233852806,181.04948837113554,framenr_123_framevid_example4
123,968.6027102648841,650.6185135222858,240.8962774827533,framenr_124_framevid_example4
124,841.0053575768261,690.1633784093517,283.45220281694077,framenr_125_framevid_example4
125,894.8516261368036,685.7051003123674,293.2769661418049,framenr_126_framevid_example4
126,884.3114218883932,784.8193794512789,265.8577208177985,framenr_127_framevid_example4
127,707.4324267705219,833.5929157262485,224.34857880599446,framenr_128_framevid_example4
128,741.7154669002365,729.0767296341733,232.8120839020636,framenr_129_framevid_example4
129,948.5485923438073,666.0338689695095,281.530360856413,framenr_130_framevid_example4
130,921.6666680312625,617.0495247879236,280.6141586391669,framenr_131_framevid_example4
131,782.9079517092405,453.18135647226507,223.8627322204523,framenr_132_framevid_example4
132,807.9972380232618,441.3971351852384,200.4357715419714,framenr_133_framevid_example4
133,877.2895874297437,677.5024761798884,236.61755436241054,framenr_134_framevid_example4
134,903.4776764794236,758.3926026472218,265.6913345614407,framenr_135_framevid_example4
135,901.848461334384,621.7090996568795,263.4742124853794,framenr_136_framevid_example4
136,819.046107476816,624.9665476824143,278.2095152316921,framenr_137_framevid_example4
137,777.6305729482385,708.1192324765742,291.888952325964,framenr_138_framevid_example4
138,858.5703598220097,614.109244365896,243.66212214736504,framenr_139_framevid_example4
139,874.6507215043137,532.8222076408358,193.08719164010344,framenr_140_framevid_example4
140,829.0664604762989,616.5545382731345,213.56456998249556,framenr_141_framevid_example4
141,858.065303075053,640.6828997815039,249.22594843683518,framenr_142_framevid_example4
142,847.1614543845695,563.3006495191197,260.42905775760784,framenr_143_framevid_example4
143,779.5445160096014,531.7474557005435,264.18485831605267,framenr_144_framevid_example4
144,804.4076149311466,547.0290664065689,256.86010906047125,framenr_145_framevid_example4
145,829.5517240786303,643.5642356438784,278.7291037155517,framenr_146_framevid_example4
146,780.3002594379236,746.8997842167565,311.1035102139858,framenr_147_framevid_example4
147,815.6066465423582,612.1343477683569,239.05309396804878,framenr_148_framevid_example4
148,901.1441588305102,467.73966099444846,172.06534225238119,framenr_149_framevid_example4
149,870.0884802052861,686.664087497441,292.0592805682991,framenr_150_framevid_example4
