,frame,x,y,r,name,sample_rate
0,1,1462,412,192,framenr_1_framevid_June16_20_bounded,25.0
1,2,1492,332,200,framenr_2_framevid_June16_20_bounded,25.0
2,3,518,468,188,framenr_3_framevid_June16_20_bounded,25.0
3,4,1346,474,129,framenr_4_framevid_June16_20_bounded,25.0
4,5,934,636,243,framenr_5_framevid_June16_20_bounded,25.0
5,6,1490,394,138,framenr_6_framevid_June16_20_bounded,25.0
6,7,498,460,197,framenr_7_framevid_June16_20_bounded,25.0
7,8,1390,810,62,framenr_8_framevid_June16_20_bounded,25.0
8,9,1480,380,204,framenr_9_framevid_June16_20_bounded,25.0
9,10,494,508,180,framenr_10_framevid_June16_20_bounded,25.0
10,11,1292,852,218,framenr_11_framevid_June16_20_bounded,25.0
11,12,1278,170,114,framenr_12_framevid_June16_20_bounded,25.0
12,13,922,724,140,framenr_13_framevid_June16_20_bounded,25.0
13,14,940,480,158,framenr_14_framevid_June16_20_bounded,25.0
14,15,792,546,245,framenr_15_framevid_June16_20_bounded,25.0
15,16,828,502,206,framenr_16_framevid_June16_20_bounded,25.0
16,17,410,256,111,framenr_17_framevid_June16_20_bounded,25.0
17,18,834,598,106,framenr_18_framevid_June16_20_bounded,25.0
18,19,802,554,161,framenr_19_framevid_June16_20_bounded,25.0
19,20,1480,428,161,framenr_20_framevid_June16_20_bounded,25.0
20,21,502,246,178,framenr_21_framevid_June16_20_bounded,25.0
21,22,1608,110,86,framenr_22_framevid_June16_20_bounded,25.0
22,23,1482,416,161,framenr_23_framevid_June16_20_bounded,25.0
23,24,1498,414,194,framenr_24_framevid_June16_20_bounded,25.0
24,25,864,548,200,framenr_25_framevid_June16_20_bounded,25.0
25,26,1326,180,118,framenr_26_framevid_June16_20_bounded,25.0
26,27,884,534,218,framenr_27_framevid_June16_20_bounded,25.0
27,28,1334,168,112,framenr_28_framevid_June16_20_bounded,25.0
28,29,1356,640,34,framenr_29_framevid_June16_20_bounded,25.0
29,30,1306,172,115,framenr_30_framevid_June16_20_bounded,25.0
30,31,1336,166,92,framenr_31_framevid_June16_20_bounded,25.0
31,32,1528,878,156,framenr_32_framevid_June16_20_bounded,25.0
32,33,1342,202,131,framenr_33_framevid_June16_20_bounded,25.0
33,34,970,736,75,framenr_34_framevid_June16_20_bounded,25.0
