,x,y,r,inputfile
0,928.9690529916875,596.0087487175,184.01946605175127,framenr_1_framevid_example8
1,919.9762816552089,663.5545559348717,236.63894372566406,framenr_2_framevid_example8
2,916.6067751342462,704.8317721089392,232.3490355454101,framenr_3_framevid_example8
3,922.2778126315882,713.1574770908694,194.7412803945333,framenr_4_framevid_example8
4,925.169993931794,689.6957695819186,181.17464649948928,framenr_5_framevid_example8
5,903.4012283169261,634.6399695390734,193.20754360391317,framenr_6_framevid_example8
6,860.4936444912948,570.2550490052257,190.2144969017882,framenr_7_framevid_example8
7,837.1205693835162,546.2319496899495,168.76241858657946,framenr_8_framevid_example8
8,860.9883152586297,584.5018745057322,165.85140903873557,framenr_9_framevid_example8
9,900.7672736635719,634.1727441958062,190.23571039443428,framenr_10_framevid_example8
10,906.0237313543271,628.0287377753534,210.7968802449746,framenr_11_framevid_example8
11,883.1284859753009,580.1722102656744,215.95392726347913,framenr_12_framevid_example8
12,884.4654849512202,572.143681211377,226.0861713328315,framenr_13_framevid_example8
13,919.8028946225189,628.2958373638708,238.34217005010208,framenr_14_framevid_example8
14,933.8587411622555,666.6930055401315,221.60085695889995,framenr_15_framevid_example8
15,894.8748131006565,616.8876648461824,185.34512892548113,framenr_16_framevid_example8
16,853.157366549013,536.9925995893581,187.02487860308472,framenr_17_framevid_example8
17,868.6738521386033,545.2499042595387,235.57038696669954,framenr_18_framevid_example8
18,917.4847613278248,654.725625671656,253.00602038470797,framenr_19_framevid_example8
19,923.3221757323981,749.6266793807615,187.13071557454825,framenr_20_framevid_example8
20,865.6264680918626,735.26989252276,107.15534150807585,framenr_21_framevid_example8
21,805.5792818178168,647.5504018394619,115.41221310056156,framenr_22_framevid_example8
22,804.337730952877,585.4301916443404,201.4008577521004,framenr_23_framevid_example8
23,853.660106131733,586.8060507575672,263.4863438447066,framenr_24_framevid_example8
24,895.3295908222165,615.2822723307588,255.03541037414698,framenr_25_framevid_example8
25,885.6206574544698,636.6655488968196,224.01952718130633,framenr_26_framevid_example8
26,835.6688980723321,655.6730008865437,210.79005409376236,framenr_27_framevid_example8
27,802.3707498472279,684.4636024604852,196.18083811349,framenr_28_framevid_example8
28,836.5590952838171,718.5740561953671,172.45567686181067,framenr_29_framevid_example8
29,927.2283878357796,750.3161320568178,181.96549503216326,framenr_30_framevid_example8
30,1004.319848595396,775.4369313376069,239.2356910276129,framenr_31_framevid_example8
31,1010.0842676378315,779.1832677633217,279.8777470624624,framenr_32_framevid_example8
32,957.4863023759772,743.582125004111,247.03054621601407,framenr_33_framevid_example8
33,903.725391622409,681.7406314106723,184.08226106372277,framenr_34_framevid_example8
34,880.8800860093899,641.0881675004247,175.3728411719736,framenr_35_framevid_example8
35,875.5832295739742,651.1550774332039,221.14491765851764,framenr_36_framevid_example8
