,frame,x,y,r,namefr,sample_rate
0,1,790,600,78,framenr_1_framevid_example8,50.0
1,2,1292,444,205,framenr_2_framevid_example8,50.0
2,3,790,602,77,framenr_3_framevid_example8,50.0
3,4,896,498,172,framenr_4_framevid_example8,50.0
4,5,896,502,175,framenr_5_framevid_example8,50.0
5,6,774,580,94,framenr_6_framevid_example8,50.0
6,7,1040,712,245,framenr_7_framevid_example8,50.0
7,8,884,504,178,framenr_8_framevid_example8,50.0
8,9,780,600,86,framenr_9_framevid_example8,50.0
9,10,564,422,95,framenr_10_framevid_example8,50.0
10,11,780,568,154,framenr_11_framevid_example8,50.0
11,12,874,526,192,framenr_12_framevid_example8,50.0
12,13,864,524,189,framenr_13_framevid_example8,50.0
13,14,754,606,78,framenr_14_framevid_example8,50.0
14,15,752,606,78,framenr_15_framevid_example8,50.0
15,16,754,606,84,framenr_16_framevid_example8,50.0
16,17,856,518,180,framenr_17_framevid_example8,50.0
17,18,740,602,77,framenr_18_framevid_example8,50.0
18,19,736,600,75,framenr_19_framevid_example8,50.0
19,20,708,582,265,framenr_20_framevid_example8,50.0
20,21,734,602,76,framenr_21_framevid_example8,50.0
21,22,720,572,239,framenr_22_framevid_example8,50.0
22,23,708,580,266,framenr_23_framevid_example8,50.0
23,24,718,568,236,framenr_24_framevid_example8,50.0
24,25,846,520,181,framenr_25_framevid_example8,50.0
25,26,736,574,243,framenr_26_framevid_example8,50.0
26,27,740,598,85,framenr_27_framevid_example8,50.0
27,28,730,594,76,framenr_28_framevid_example8,50.0
28,29,760,582,108,framenr_29_framevid_example8,50.0
29,30,730,598,77,framenr_30_framevid_example8,50.0
30,31,722,562,243,framenr_31_framevid_example8,50.0
31,32,726,592,75,framenr_32_framevid_example8,50.0
32,33,686,576,250,framenr_33_framevid_example8,50.0
33,34,1244,396,147,framenr_34_framevid_example8,50.0
34,35,732,574,243,framenr_35_framevid_example8,50.0
35,36,704,556,234,framenr_36_framevid_example8,50.0
36,37,720,590,79,framenr_37_framevid_example8,50.0
37,38,694,554,225,framenr_38_framevid_example8,50.0
38,39,710,592,75,framenr_39_framevid_example8,50.0
39,40,692,562,232,framenr_40_framevid_example8,50.0
40,41,708,600,78,framenr_41_framevid_example8,50.0
41,42,702,596,78,framenr_42_framevid_example8,50.0
42,43,700,594,76,framenr_43_framevid_example8,50.0
43,44,700,576,245,framenr_44_framevid_example8,50.0
44,45,820,512,168,framenr_45_framevid_example8,50.0
45,46,672,568,221,framenr_46_framevid_example8,50.0
46,47,696,596,76,framenr_47_framevid_example8,50.0
47,48,698,594,77,framenr_48_framevid_example8,50.0
48,49,726,594,104,framenr_49_framevid_example8,50.0
