"Begin Time - msec","End Time - msec","inflation_cycle","scene","individual"
1176430,1177120," 1","1","Baju"
1181240,1182010," 2","1","Baju"
1182740,1183320," 3","1","Baju"
1183475,1184205," 4","1","Baju"
1185300,1185800," 5","1","Baju"
1191240,1191660," 6","2","Baju"
1259280,1260100," 7","3","Baju"
1268650,1269010," 8","4","Baju"

