Begin Time - msec,End Time - msec,inflation_cycle,inflation_scene,individual
487840,488370,1,1,Pelangi
534719,535139,2,2,Pelangi
605213,605786,3,3,Pelangi
606373,607013,4,3,Pelangi
607906,608332,5,3,Pelangi
640906,641386,6,4,Pelangi
673640,674246,7,5,Pelangi
732826,733500,8,6,Pelangi
833860,834246,9,7,Pelangi
