"Begin Time - msec","End Time - msec","inflation_cycle","scene","individual"
362750,363145,"1","1","Fajar"
993080,993665,"2","2","Fajar"
994350,994640,"3","2","Fajar"
995128,995813,"4","2","Fajar"
1055050,1055600,"5","3","Fajar"

