"Begin Time - msec","End Time - msec","inflation_cycle","scene","individual"
324010,324500," 1","1","Pelangi"
386675,387050," 2","2","Roger"
442075,442585," 3","3","Roger"
459640,460060," 4","4","Roger"
753670,753980," 5","5","Fajar"

