"radius","x","y","frame","videofile","normalization_value","norm_radius"
NA,NA,NA,"1","_Opp_August_14_Session_1_zoom_syncedboom_1_1_boomDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",157.684579253284,NA
NA,NA,NA,"2","_Opp_August_14_Session_1_zoom_syncedboom_1_1_boomDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",157.684579253284,NA
NA,NA,NA,"3","_Opp_August_14_Session_1_zoom_syncedboom_1_1_boomDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",157.684579253284,NA
NA,NA,NA,"4","_Opp_August_14_Session_1_zoom_syncedboom_1_1_boomDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",157.684579253284,NA
NA,NA,NA,"5","_Opp_August_14_Session_1_zoom_syncedboom_1_1_boomDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",157.684579253284,NA
"132.249190336764","1135.63169016302","346.887721002008","6","_Opp_August_14_Session_1_zoom_syncedboom_1_1_boomDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",157.684579253284,0.838694506229019
"131.923562611517","1119.60207131672","344.098920489854","7","_Opp_August_14_Session_1_zoom_syncedboom_1_1_boomDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",157.684579253284,0.836629448714905
"136.951909016096","1111.05283175111","337.563836640727","8","_Opp_August_14_Session_1_zoom_syncedboom_1_1_boomDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",157.684579253284,0.868518086325448
"150.924483765979","1115.61646766942","322.8519407596","9","_Opp_August_14_Session_1_zoom_syncedboom_1_1_boomDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",157.684579253284,0.957129000696721
"148.626834084851","1099.47771044434","321.424067876382","10","_Opp_August_14_Session_1_zoom_syncedboom_1_1_boomDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",157.684579253284,0.942557825176524
NA,NA,NA,"11","_Opp_August_14_Session_1_zoom_syncedboom_1_1_boomDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",157.684579253284,NA
"144.617898122317","1072.4682902194","314.781864933264","12","_Opp_August_14_Session_1_zoom_syncedboom_1_1_boomDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",157.684579253284,0.917134058429526
"142.91441717421","1061.47583093176","312.895902868589","13","_Opp_August_14_Session_1_zoom_syncedboom_1_1_boomDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",157.684579253284,0.906330966864239
NA,NA,NA,"14","_Opp_August_14_Session_1_zoom_syncedboom_1_1_boomDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",157.684579253284,NA
NA,NA,NA,"15","_Opp_August_14_Session_1_zoom_syncedboom_1_1_boomDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",157.684579253284,NA
NA,NA,NA,"16","_Opp_August_14_Session_1_zoom_syncedboom_1_1_boomDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",157.684579253284,NA
NA,NA,NA,"17","_Opp_August_14_Session_1_zoom_syncedboom_1_1_boomDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",157.684579253284,NA
"110.189712413532","985.98629250503","308.015856578244","18","_Opp_August_14_Session_1_zoom_syncedboom_1_1_boomDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",157.684579253284,0.698798277772853
NA,NA,NA,"19","_Opp_August_14_Session_1_zoom_syncedboom_1_1_boomDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",157.684579253284,NA
NA,NA,NA,"20","_Opp_August_14_Session_1_zoom_syncedboom_1_1_boomDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",157.684579253284,NA
"113.296474614386","981.914500150945","298.557389345858","21","_Opp_August_14_Session_1_zoom_syncedboom_1_1_boomDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",157.684579253284,0.718500662213779
NA,NA,NA,"22","_Opp_August_14_Session_1_zoom_syncedboom_1_1_boomDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",157.684579253284,NA
NA,NA,NA,"1","_Opp_August_19_Session_1_zoom_syncedboom_4_1_boomDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",NA,NA
NA,NA,NA,"2","_Opp_August_19_Session_1_zoom_syncedboom_4_1_boomDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",NA,NA
NA,NA,NA,"3","_Opp_August_19_Session_1_zoom_syncedboom_4_1_boomDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",NA,NA
NA,NA,NA,"4","_Opp_August_19_Session_1_zoom_syncedboom_4_1_boomDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",NA,NA
