,frame,x,y,r,name,sample_rate
0,1,868,176,202,framenr_1_framevid__Opp_August_20_Session_1_zoom_syncedboom_2_2_Pelangi,50.0
1,2,868,688,209,framenr_2_framevid__Opp_August_20_Session_1_zoom_syncedboom_2_2_Pelangi,50.0
2,3,872,190,190,framenr_3_framevid__Opp_August_20_Session_1_zoom_syncedboom_2_2_Pelangi,50.0
3,4,936,730,136,framenr_4_framevid__Opp_August_20_Session_1_zoom_syncedboom_2_2_Pelangi,50.0
4,5,908,734,160,framenr_5_framevid__Opp_August_20_Session_1_zoom_syncedboom_2_2_Pelangi,50.0
5,6,898,678,200,framenr_6_framevid__Opp_August_20_Session_1_zoom_syncedboom_2_2_Pelangi,50.0
6,7,922,162,243,framenr_7_framevid__Opp_August_20_Session_1_zoom_syncedboom_2_2_Pelangi,50.0
7,8,868,148,218,framenr_8_framevid__Opp_August_20_Session_1_zoom_syncedboom_2_2_Pelangi,50.0
8,9,924,154,246,framenr_9_framevid__Opp_August_20_Session_1_zoom_syncedboom_2_2_Pelangi,50.0
9,10,914,724,177,framenr_10_framevid__Opp_August_20_Session_1_zoom_syncedboom_2_2_Pelangi,50.0
10,11,912,720,182,framenr_11_framevid__Opp_August_20_Session_1_zoom_syncedboom_2_2_Pelangi,50.0
11,12,924,728,169,framenr_12_framevid__Opp_August_20_Session_1_zoom_syncedboom_2_2_Pelangi,50.0
12,13,906,708,198,framenr_13_framevid__Opp_August_20_Session_1_zoom_syncedboom_2_2_Pelangi,50.0
13,14,916,724,180,framenr_14_framevid__Opp_August_20_Session_1_zoom_syncedboom_2_2_Pelangi,50.0
14,15,918,726,179,framenr_15_framevid__Opp_August_20_Session_1_zoom_syncedboom_2_2_Pelangi,50.0
15,16,918,726,180,framenr_16_framevid__Opp_August_20_Session_1_zoom_syncedboom_2_2_Pelangi,50.0
16,17,918,726,180,framenr_17_framevid__Opp_August_20_Session_1_zoom_syncedboom_2_2_Pelangi,50.0
17,18,914,726,184,framenr_18_framevid__Opp_August_20_Session_1_zoom_syncedboom_2_2_Pelangi,50.0
18,19,912,722,188,framenr_19_framevid__Opp_August_20_Session_1_zoom_syncedboom_2_2_Pelangi,50.0
19,20,910,724,185,framenr_20_framevid__Opp_August_20_Session_1_zoom_syncedboom_2_2_Pelangi,50.0
20,21,918,736,169,framenr_21_framevid__Opp_August_20_Session_1_zoom_syncedboom_2_2_Pelangi,50.0
