,frame,x,y,r,name,sample_rate
0,1,478,160,177,framenr_1_framevid__Opp_June_16_Session_1_zoom_syncedboom_1_1_Roger,25.0
1,2,524,844,209,framenr_2_framevid__Opp_June_16_Session_1_zoom_syncedboom_1_1_Roger,25.0
2,3,722,618,243,framenr_3_framevid__Opp_June_16_Session_1_zoom_syncedboom_1_1_Roger,25.0
3,4,698,666,238,framenr_4_framevid__Opp_June_16_Session_1_zoom_syncedboom_1_1_Roger,25.0
4,5,838,520,215,framenr_5_framevid__Opp_June_16_Session_1_zoom_syncedboom_1_1_Roger,25.0
5,6,1284,682,226,framenr_6_framevid__Opp_June_16_Session_1_zoom_syncedboom_1_1_Roger,25.0
6,7,1304,678,225,framenr_7_framevid__Opp_June_16_Session_1_zoom_syncedboom_1_1_Roger,25.0
7,8,1266,564,202,framenr_8_framevid__Opp_June_16_Session_1_zoom_syncedboom_1_1_Roger,25.0
8,9,412,812,161,framenr_9_framevid__Opp_June_16_Session_1_zoom_syncedboom_1_1_Roger,25.0
9,10,1366,790,191,framenr_10_framevid__Opp_June_16_Session_1_zoom_syncedboom_1_1_Roger,25.0
10,11,904,462,236,framenr_11_framevid__Opp_June_16_Session_1_zoom_syncedboom_1_1_Roger,25.0
11,12,1272,752,246,framenr_12_framevid__Opp_June_16_Session_1_zoom_syncedboom_1_1_Roger,25.0
