,frame,x,y,r,name,sample_rate
0,1,876,514,232,framenr_1_framevid__Opp_June_16_Session_1_zoom_syncedboom_19_11_roger,25.0
1,2,876,518,226,framenr_2_framevid__Opp_June_16_Session_1_zoom_syncedboom_19_11_roger,25.0
2,3,872,522,219,framenr_3_framevid__Opp_June_16_Session_1_zoom_syncedboom_19_11_roger,25.0
3,4,876,524,220,framenr_4_framevid__Opp_June_16_Session_1_zoom_syncedboom_19_11_roger,25.0
4,5,870,528,216,framenr_5_framevid__Opp_June_16_Session_1_zoom_syncedboom_19_11_roger,25.0
5,6,1354,404,150,framenr_6_framevid__Opp_June_16_Session_1_zoom_syncedboom_19_11_roger,25.0
6,7,1318,816,224,framenr_7_framevid__Opp_June_16_Session_1_zoom_syncedboom_19_11_roger,25.0
7,8,1310,386,236,framenr_8_framevid__Opp_June_16_Session_1_zoom_syncedboom_19_11_roger,25.0
8,9,870,594,203,framenr_9_framevid__Opp_June_16_Session_1_zoom_syncedboom_19_11_roger,25.0
9,10,1240,690,174,framenr_10_framevid__Opp_June_16_Session_1_zoom_syncedboom_19_11_roger,25.0
10,11,1316,420,181,framenr_11_framevid__Opp_June_16_Session_1_zoom_syncedboom_19_11_roger,25.0
11,12,1612,530,249,framenr_12_framevid__Opp_June_16_Session_1_zoom_syncedboom_19_11_roger,25.0
12,13,1616,530,247,framenr_13_framevid__Opp_June_16_Session_1_zoom_syncedboom_19_11_roger,25.0
13,14,1368,394,145,framenr_14_framevid__Opp_June_16_Session_1_zoom_syncedboom_19_11_roger,25.0
14,15,1314,818,210,framenr_15_framevid__Opp_June_16_Session_1_zoom_syncedboom_19_11_roger,25.0
15,16,914,550,226,framenr_16_framevid__Opp_June_16_Session_1_zoom_syncedboom_19_11_roger,25.0
16,17,1354,398,158,framenr_17_framevid__Opp_June_16_Session_1_zoom_syncedboom_19_11_roger,25.0
17,18,1352,402,161,framenr_18_framevid__Opp_June_16_Session_1_zoom_syncedboom_19_11_roger,25.0
