,frame,x,y,r,name,sample_rate
0,1,1400,554,249,framenr_1_framevid__Opp_August_18_Session_1_zoom_syncedboom_7_3_3_Roger,50.0
1,2,1328,580,227,framenr_2_framevid__Opp_August_18_Session_1_zoom_syncedboom_7_3_3_Roger,50.0
2,3,1200,596,249,framenr_3_framevid__Opp_August_18_Session_1_zoom_syncedboom_7_3_3_Roger,50.0
3,4,1152,558,235,framenr_4_framevid__Opp_August_18_Session_1_zoom_syncedboom_7_3_3_Roger,50.0
4,5,1104,394,236,framenr_5_framevid__Opp_August_18_Session_1_zoom_syncedboom_7_3_3_Roger,50.0
5,6,1388,354,191,framenr_6_framevid__Opp_August_18_Session_1_zoom_syncedboom_7_3_3_Roger,50.0
6,7,1682,440,238,framenr_7_framevid__Opp_August_18_Session_1_zoom_syncedboom_7_3_3_Roger,50.0
7,8,1242,626,235,framenr_8_framevid__Opp_August_18_Session_1_zoom_syncedboom_7_3_3_Roger,50.0
8,9,1212,568,242,framenr_9_framevid__Opp_August_18_Session_1_zoom_syncedboom_7_3_3_Roger,50.0
9,10,1246,640,223,framenr_10_framevid__Opp_August_18_Session_1_zoom_syncedboom_7_3_3_Roger,50.0
10,11,1160,534,235,framenr_11_framevid__Opp_August_18_Session_1_zoom_syncedboom_7_3_3_Roger,50.0
11,12,1052,822,224,framenr_12_framevid__Opp_August_18_Session_1_zoom_syncedboom_7_3_3_Roger,50.0
12,13,1052,826,218,framenr_13_framevid__Opp_August_18_Session_1_zoom_syncedboom_7_3_3_Roger,50.0
13,14,1008,324,249,framenr_14_framevid__Opp_August_18_Session_1_zoom_syncedboom_7_3_3_Roger,50.0
14,15,1778,320,208,framenr_15_framevid__Opp_August_18_Session_1_zoom_syncedboom_7_3_3_Roger,50.0
15,16,1518,528,249,framenr_16_framevid__Opp_August_18_Session_1_zoom_syncedboom_7_3_3_Roger,50.0
16,17,1390,576,202,framenr_17_framevid__Opp_August_18_Session_1_zoom_syncedboom_7_3_3_Roger,50.0
17,18,1034,818,224,framenr_18_framevid__Opp_August_18_Session_1_zoom_syncedboom_7_3_3_Roger,50.0
18,19,1038,822,219,framenr_19_framevid__Opp_August_18_Session_1_zoom_syncedboom_7_3_3_Roger,50.0
19,20,1528,526,234,framenr_20_framevid__Opp_August_18_Session_1_zoom_syncedboom_7_3_3_Roger,50.0
20,21,1140,538,224,framenr_21_framevid__Opp_August_18_Session_1_zoom_syncedboom_7_3_3_Roger,50.0
21,22,1124,550,206,framenr_22_framevid__Opp_August_18_Session_1_zoom_syncedboom_7_3_3_Roger,50.0
22,23,1120,514,230,framenr_23_framevid__Opp_August_18_Session_1_zoom_syncedboom_7_3_3_Roger,50.0
23,24,534,948,154,framenr_24_framevid__Opp_August_18_Session_1_zoom_syncedboom_7_3_3_Roger,50.0
24,25,1522,510,233,framenr_25_framevid__Opp_August_18_Session_1_zoom_syncedboom_7_3_3_Roger,50.0
