,frame,x,y,r,name,sample_rate
0,1,1182,220,137,framenr_1_framevid__Opp_June_13_Session_1_zoom_syncedboom_30_3_1_Baju,25.0
1,2,1170,250,122,framenr_2_framevid__Opp_June_13_Session_1_zoom_syncedboom_30_3_1_Baju,25.0
2,3,1196,208,128,framenr_3_framevid__Opp_June_13_Session_1_zoom_syncedboom_30_3_1_Baju,25.0
3,4,296,386,230,framenr_4_framevid__Opp_June_13_Session_1_zoom_syncedboom_30_3_1_Baju,25.0
4,5,182,52,51,framenr_5_framevid__Opp_June_13_Session_1_zoom_syncedboom_30_3_1_Baju,25.0
5,6,1188,250,102,framenr_6_framevid__Opp_June_13_Session_1_zoom_syncedboom_30_3_1_Baju,25.0
6,7,1210,186,161,framenr_7_framevid__Opp_June_13_Session_1_zoom_syncedboom_30_3_1_Baju,25.0
7,8,1202,184,155,framenr_8_framevid__Opp_June_13_Session_1_zoom_syncedboom_30_3_1_Baju,25.0
8,9,1180,186,132,framenr_9_framevid__Opp_June_13_Session_1_zoom_syncedboom_30_3_1_Baju,25.0
9,10,1148,208,124,framenr_10_framevid__Opp_June_13_Session_1_zoom_syncedboom_30_3_1_Baju,25.0
10,11,1280,444,137,framenr_11_framevid__Opp_June_13_Session_1_zoom_syncedboom_30_3_1_Baju,25.0
11,12,1184,196,130,framenr_12_framevid__Opp_June_13_Session_1_zoom_syncedboom_30_3_1_Baju,25.0
12,13,186,24,92,framenr_13_framevid__Opp_June_13_Session_1_zoom_syncedboom_30_3_1_Baju,25.0
13,14,326,350,121,framenr_14_framevid__Opp_June_13_Session_1_zoom_syncedboom_30_3_1_Baju,25.0
