,frame,x,y,r,name,sample_rate
0,1,978,708,218,framenr_1_framevid__Opp_August_29_Session_1_zoom_syncedboom_25_6_4_Pelangi,50.0
1,2,870,262,245,framenr_2_framevid__Opp_August_29_Session_1_zoom_syncedboom_25_6_4_Pelangi,50.0
2,3,646,660,235,framenr_3_framevid__Opp_August_29_Session_1_zoom_syncedboom_25_6_4_Pelangi,50.0
3,4,648,660,235,framenr_4_framevid__Opp_August_29_Session_1_zoom_syncedboom_25_6_4_Pelangi,50.0
4,5,1206,448,139,framenr_5_framevid__Opp_August_29_Session_1_zoom_syncedboom_25_6_4_Pelangi,50.0
5,6,1202,410,201,framenr_6_framevid__Opp_August_29_Session_1_zoom_syncedboom_25_6_4_Pelangi,50.0
6,7,666,666,249,framenr_7_framevid__Opp_August_29_Session_1_zoom_syncedboom_25_6_4_Pelangi,50.0
7,8,646,658,226,framenr_8_framevid__Opp_August_29_Session_1_zoom_syncedboom_25_6_4_Pelangi,50.0
8,9,1212,418,212,framenr_9_framevid__Opp_August_29_Session_1_zoom_syncedboom_25_6_4_Pelangi,50.0
9,10,1230,440,225,framenr_10_framevid__Opp_August_29_Session_1_zoom_syncedboom_25_6_4_Pelangi,50.0
10,11,834,232,193,framenr_11_framevid__Opp_August_29_Session_1_zoom_syncedboom_25_6_4_Pelangi,50.0
11,12,1178,454,178,framenr_12_framevid__Opp_August_29_Session_1_zoom_syncedboom_25_6_4_Pelangi,50.0
12,13,1158,444,202,framenr_13_framevid__Opp_August_29_Session_1_zoom_syncedboom_25_6_4_Pelangi,50.0
13,14,1188,448,190,framenr_14_framevid__Opp_August_29_Session_1_zoom_syncedboom_25_6_4_Pelangi,50.0
14,15,1152,468,154,framenr_15_framevid__Opp_August_29_Session_1_zoom_syncedboom_25_6_4_Pelangi,50.0
15,16,1172,464,178,framenr_16_framevid__Opp_August_29_Session_1_zoom_syncedboom_25_6_4_Pelangi,50.0
16,17,1192,430,218,framenr_17_framevid__Opp_August_29_Session_1_zoom_syncedboom_25_6_4_Pelangi,50.0
17,18,1214,428,237,framenr_18_framevid__Opp_August_29_Session_1_zoom_syncedboom_25_6_4_Pelangi,50.0
18,19,1158,476,166,framenr_19_framevid__Opp_August_29_Session_1_zoom_syncedboom_25_6_4_Pelangi,50.0
19,20,1148,482,158,framenr_20_framevid__Opp_August_29_Session_1_zoom_syncedboom_25_6_4_Pelangi,50.0
20,21,1164,476,175,framenr_21_framevid__Opp_August_29_Session_1_zoom_syncedboom_25_6_4_Pelangi,50.0
21,22,1206,432,237,framenr_22_framevid__Opp_August_29_Session_1_zoom_syncedboom_25_6_4_Pelangi,50.0
22,23,1214,436,241,framenr_23_framevid__Opp_August_29_Session_1_zoom_syncedboom_25_6_4_Pelangi,50.0
23,24,1172,478,157,framenr_24_framevid__Opp_August_29_Session_1_zoom_syncedboom_25_6_4_Pelangi,50.0
24,25,1138,494,146,framenr_25_framevid__Opp_August_29_Session_1_zoom_syncedboom_25_6_4_Pelangi,50.0
25,26,1204,436,232,framenr_26_framevid__Opp_August_29_Session_1_zoom_syncedboom_25_6_4_Pelangi,50.0
26,27,1178,474,185,framenr_27_framevid__Opp_August_29_Session_1_zoom_syncedboom_25_6_4_Pelangi,50.0
27,28,1150,492,152,framenr_28_framevid__Opp_August_29_Session_1_zoom_syncedboom_25_6_4_Pelangi,50.0
28,29,864,254,237,framenr_29_framevid__Opp_August_29_Session_1_zoom_syncedboom_25_6_4_Pelangi,50.0
